# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
   5.000    0.51931500    0.51931475    0.71022848    3.68698824    3.14405596    0.12206678   -1.00000000  -1.18880e+01
   5.000    0.62336224    0.62336191    0.85152468    3.69647945    3.12015821    0.12206678   -1.00000000  -1.17726e+01
   5.000    0.75886918    0.75886873    0.99074677    3.70501226    3.10070679    0.12206678   -1.00000000  -1.16626e+01
   5.000    0.96122326    0.96122263    1.13885607    3.71372687    3.09014668    0.12206678   -1.00000000  -1.15595e+01
   5.000    1.36257321    1.36257221    1.33567584    3.72464486    3.08858043    0.12206678   -1.00000000  -1.14405e+01
   5.000    1.58880299    1.58880177    1.42241811    3.72878728    3.08513458    0.12206678   -1.00000000  -1.13855e+01
   5.000    2.11120829    2.11120653    1.58787547    3.73554070    3.07014239    0.12206678   -1.00000000  -1.12727e+01
   5.000    2.52297350    2.52297131    1.70273975    3.73944547    3.04826659    0.12206678   -1.00000000  -1.11866e+01
   5.000    2.83040882    2.83040629    1.78802573    3.74207563    3.02344040    0.12206678   -1.00000000  -1.11167e+01
   5.000    3.06231806    3.06231525    1.85601675    3.74421637    2.99821561    0.12206678   -1.00000000  -1.10566e+01
   5.000    3.23470491    3.23470195    1.93173793    3.74634472    2.95480017    0.12206678   -1.00000000  -1.09750e+01
   5.000    3.41423368    3.41423047    2.01546547    3.74871760    2.90404703    0.12206678   -1.00000000  -1.08834e+01
   5.000    3.57877507    3.57877158    2.11553071    3.75149190    2.83551389    0.12206678   -1.00000000  -1.07648e+01
   5.000    3.72076120    3.72075740    2.22440538    3.75478017    2.75669281    0.12206678   -1.00000000  -1.06278e+01
   5.000    3.84837195    3.84836779    2.32487105    3.75931223    2.68898954    0.12206678   -1.00000000  -1.04970e+01
   5.000    3.95767548    3.95767093    2.39901882    3.76495560    2.64958099    0.12206677   -1.00000000  -1.04066e+01
   5.000    4.06690018    4.06689519    2.46315482    3.77310223    2.62973089    0.12206677   -1.00000000  -1.03336e+01
   5.000    4.17672655    4.17672107    2.52311792    3.78605541    2.63314690    0.12206677   -1.00000000  -1.02794e+01
   5.000    4.27975938    4.27975341    2.57707573    3.80443884    2.66339456    0.12206677   -1.00000000  -1.02458e+01
   5.000    4.37922110    4.37921465    2.62604238    3.82463996    2.70510834    0.12206676   -1.00000000  -1.02212e+01
   5.000    4.47445734    4.47445040    2.67267220    3.84479421    2.74855194    0.12206676   -1.00000000  -1.02021e+01
   5.000    4.57128183    4.57127439    2.71758541    3.86486014    2.79313376    0.12206676   -1.00000000  -1.01832e+01
   5.000    4.66709904    4.66709109    2.76097434    3.88477056    2.83838602    0.12206676   -1.00000000  -1.01670e+01
   5.000    4.76339170    4.76338323    2.80397462    3.90469559    2.88413006    0.12206676   -1.00000000  -1.01531e+01
   5.000    4.88012202    4.88011279    2.85605597    3.93419649    2.96038905    0.12206675   -1.00000000  -1.01429e+01
   5.000    4.99455212    4.99454213    2.90652272    3.96294280    3.03512755    0.12206675   -1.00000000  -1.01358e+01
   5.000    5.08881949    5.08880896    2.94271233    3.98173552    3.08209861    0.12206674   -1.00000000  -1.01257e+01
   5.000    5.18131256    5.18130147    2.97777754    4.00029335    3.12910415    0.12206674   -1.00000000  -1.01181e+01
   5.000    5.27407291    5.27406127    3.01195676    4.01868273    3.17624959    0.12206675   -1.00000000  -1.01119e+01
   5.000    5.36904630    5.36903408    3.04513063    4.03694145    3.22378573    0.12206675   -1.00000000  -1.01056e+01
   5.000    5.46447420    5.46446140    3.07790224    4.05507391    3.27125577    0.12206675   -1.00000000  -1.01009e+01
   5.000    5.55891868    5.55890533    3.10870012    4.07199955    3.31558116    0.12206675   -1.00000000  -1.02074e+01
   5.000    5.65291618    5.65290246    3.13824061    4.08815580    3.35792418    0.12206676   -1.00000000  -1.05753e+01
   5.000    5.74695834    5.74694438    3.16742334    4.10417263    3.40007078    0.12206676   -1.00000000  -1.30876e+01
   5.000    5.85220546    5.85219128    3.19881642    4.12285856    3.45121273    0.12206677   -1.00000000  -9.90000e+01
   5.000    5.95827519    5.95826079    3.23002272    4.14153105    3.50253850    0.12206677   -1.00000000  -9.90000e+01
   5.000    6.07422287    6.07420435    3.26105922    4.15956926    3.55170845    0.12206678   -1.00000000  -1.13003e+01
   5.000    6.19767752    6.19765224    3.29210478    4.17716210    3.59929875    0.12206678   -1.00000000  -1.08539e+01
   5.000    6.32178477    6.32175265    3.32292211    4.19461046    3.64658301    0.12206679   -1.00000000  -1.06213e+01
   5.000    6.44646293    6.44642386    3.35349820    4.21191366    3.69356613    0.12206679   -1.00000000  -1.04588e+01
   5.000    6.57205413    6.57200800    3.38392243    4.22908978    3.74025387    0.12206679   -1.00000000  -1.03311e+01
   5.000    6.69846234    6.69840902    3.41419068    4.24613143    3.78661441    0.12206679   -1.00000000  -1.02247e+01
   5.000    6.82604628    6.82598561    3.44440194    4.26305151    3.83262440    0.12206679   -1.00000000  -1.01324e+01
   5.000    6.95426242    6.95419425    3.47446266    4.27983878    3.87829594    0.12206678   -1.00000000  -1.00507e+01
   5.000    7.08712102    7.08704728    3.50283242    4.29553519    3.92099442    0.12206678   -1.00000000  -9.97537e+00
   5.000    7.22384216    7.22376384    3.53040603    4.31064870    3.96206787    0.12206678   -1.00000000  -9.90590e+00
   5.000    7.36299944    7.36291635    3.55812695    4.32576014    4.00313172    0.12206678   -1.00000000  -9.84159e+00
   5.000    7.50586380    7.50577570    3.58613351    4.34089117    4.04421041    0.12206678   -1.00000000  -9.78154e+00
   5.000    7.67813826    7.67804363    3.61675902    4.35815443    4.09227226    0.12206678   -1.00000000  -9.97570e+00
   5.000    7.85323946    7.85313890    3.64725425    4.37524161    4.13994127    0.12206678   -1.00000000  -1.10153e+01
   5.000    8.03289182    8.03278503    3.67757143    4.39203054    4.18673863    0.12206678   -1.00000000  -1.08736e+01
   5.000    8.22271747    8.22260353    3.70747704    4.40802378    4.23080159    0.12206678   -1.00000000  -1.07265e+01
   5.000    8.41294139    8.41282023    3.73755553    4.42382874    4.27395947    0.12206678   -1.00000000  -1.05995e+01
   5.000    8.60897716    8.60884817    3.76783189    4.43925561    4.31538505    0.12206678   -1.00000000  -1.04730e+01
   5.000    8.81336115    8.81322366    3.79903329    4.45450887    4.35534354    0.12206678   -1.00000000  -1.03504e+01
