# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
   5.000    0.62397870    0.62397837    0.85073488    3.69586896    3.11893464    0.48595659   -1.00000000  -1.17731e+01
   5.000    0.76256363    0.76256318    0.99278352    3.70456314    3.09894456    0.48595659   -1.00000000  -1.16606e+01
   5.000    0.98544956    0.98544891    1.15264776    3.71392439    3.08793856    0.48595659   -1.00000000  -1.15501e+01
   5.000    1.38485811    1.38485709    1.34408852    3.72444949    3.08642573    0.48595659   -1.00000000  -1.14346e+01
   5.000    1.59711244    1.59711121    1.42469859    3.72828236    3.08312587    0.48595659   -1.00000000  -1.13833e+01
   5.000    2.10093059    2.10092885    1.58375465    3.73480065    3.06922659    0.48595659   -1.00000000  -1.12753e+01
   5.000    2.48531583    2.48531369    1.69038972    3.73847998    3.05023818    0.48595659   -1.00000000  -1.11964e+01
   5.000    2.81537015    2.81536764    1.78027990    3.74129854    3.02578598    0.48595659   -1.00000000  -1.11241e+01
   5.000    3.05414207    3.05413928    1.84853212    3.74341447    3.00132838    0.48595659   -1.00000000  -1.10641e+01
   5.000    3.22809917    3.22809621    1.91774383    3.74541804    2.96420477    0.48595659   -1.00000000  -1.09919e+01
   5.000    3.40211435    3.40211118    1.99558371    3.74760629    2.91796577    0.48595659   -1.00000000  -1.09081e+01
   5.000    3.57929833    3.57929487    2.09185015    3.75026306    2.85434312    0.48595659   -1.00000000  -1.07961e+01
   5.000    3.73256080    3.73255703    2.20147449    3.75344095    2.77563342    0.48595659   -1.00000000  -1.06601e+01
   5.000    3.86295043    3.86294631    2.30364353    3.75739788    2.70420424    0.48595659   -1.00000000  -1.05278e+01
   5.000    3.97392771    3.97392322    2.38000716    3.76227942    2.65967497    0.48595658   -1.00000000  -1.04323e+01
   5.000    4.09203783    4.09203289    2.44814803    3.76955794    2.63320791    0.48595657   -1.00000000  -1.03511e+01
   5.000    4.20704997    4.20704454    2.50994217    3.78052056    2.62737681    0.48595656   -1.00000000  -1.02923e+01
   5.000    4.31201139    4.31200548    2.56263027    3.79674560    2.65026953    0.48595655   -1.00000000  -1.02548e+01
   5.000    4.40981899    4.40981260    2.60994561    3.81577135    2.68876890    0.48595654   -1.00000000  -1.02306e+01
   5.000    4.50358494    4.50357808    2.65535640    3.83506326    2.72983615    0.48595653   -1.00000000  -1.02124e+01
   5.000    4.60273821    4.60273084    2.70091660    3.85548087    2.77524000    0.48595653   -1.00000000  -1.01926e+01
   5.000    4.69858858    4.69858069    2.74531233    3.87570011    2.82072388    0.48595652   -1.00000000  -1.01760e+01
   5.000    4.79280252    4.79279411    2.78792862    3.89544863    2.86574436    0.48595651   -1.00000000  -1.01603e+01
   5.000    4.88612617    4.88611724    2.82873715    3.91467490    2.91015653    0.48595650   -1.00000000  -1.01453e+01
   5.000    4.97742780    4.97741835    2.86859849    3.93380067    2.95493375    0.48595649   -1.00000000  -1.01329e+01
   5.000    5.08078939    5.08077927    2.91378071    3.95819763    3.01619812    0.48595648   -1.00000000  -1.01224e+01
   5.000    5.18337948    5.18336866    2.95856614    3.98376780    3.08238857    0.48595647   -1.00000000  -1.01150e+01
   5.000    5.27805488    5.27804346    2.99720828    4.00491201    3.13623702    0.48595647   -1.00000000  -1.01071e+01
   5.000    5.35649447    5.35648262    3.02501701    4.01786713    3.16658771    0.48595648   -1.00000000  -1.00965e+01
   5.000    5.43390034    5.43388806    3.05218538    4.03069891    3.19700190    0.48595648   -1.00000000  -1.00880e+01
   5.000    5.51321299    5.51320027    3.07944212    4.04337462    3.22685753    0.48595649   -1.00000000  -1.00805e+01
   5.000    5.60649626    5.60648295    3.11172965    4.06185885    3.27566279    0.48595649   -1.00000000  -1.00989e+01
   5.000    5.69791616    5.69790235    3.14265816    4.07937234    3.32184773    0.48595650   -1.00000000  -1.03127e+01
   5.000    5.80017049    5.80015428    3.17412251    4.09703314    3.36847724    0.48595652   -1.00000000  -1.08639e+01
   5.000    5.91422747    5.91420631    3.20592166    4.11480762    3.41557086    0.48595654   -1.00000000  -1.11103e+01
   5.000    6.02979571    6.02976950    3.23748384    4.13247350    3.46257030    0.48595656   -1.00000000  -1.08555e+01
   5.000    6.14506430    6.14503302    3.26843042    4.14995903    3.50944351    0.48595658   -1.00000000  -1.06828e+01
   5.000    6.26086078    6.26082438    3.29896969    4.16729464    3.55616035    0.48595660   -1.00000000  -1.05490e+01
   5.000    6.37711148    6.37706987    3.32910819    4.18447684    3.60269541    0.48595661   -1.00000000  -1.04383e+01
   5.000    6.49419304    6.49414615    3.35895732    4.20152074    3.64902342    0.48595662   -1.00000000  -1.03430e+01
   5.000    6.61205175    6.61199949    3.38852960    4.21842360    3.69511721    0.48595662   -1.00000000  -1.02587e+01
   5.000    6.73077876    6.73072103    3.41787797    4.23519254    3.74095859    0.48595662   -1.00000000  -1.01828e+01
   5.000    6.85039400    6.85033068    3.44703786    4.25182578    3.78650633    0.48595661   -1.00000000  -1.01134e+01
   5.000    6.97105335    6.97098430    3.47608263    4.26833776    3.83175551    0.48595660   -1.00000000  -1.00491e+01
   5.000    7.13939730    7.13932218    3.51167051    4.29022728    3.89405733    0.48595659   -1.00000000  -9.95228e+00
   5.000    7.32585007    7.32576853    3.54955768    4.31399121    3.96239908    0.48595659   -1.00000000  -9.85791e+00
   5.000    7.51386472    7.51377645    3.58682507    4.33733289    4.02971154    0.48595659   -1.00000000  -9.77465e+00
   5.000    7.67732490    7.67723033    3.61584142    4.35353227    4.07465563    0.48595659   -1.00000000  -9.94265e+00
   5.000    7.84459920    7.84449881    3.64487744    4.36966324    4.11952028    0.48595659   -1.00000000  -1.10452e+01
   5.000    8.01414961    8.01404341    3.67352501    4.38560912    4.16411248    0.48595659   -1.00000000  -1.09104e+01
   5.000    8.19893433    8.19882113    3.70228783    4.40133441    4.20798094    0.48595659   -1.00000000  -1.07633e+01
   5.000    8.38495265    8.38483237    3.73114758    4.41682388    4.25087417    0.48595659   -1.00000000  -1.06361e+01
   5.000    8.57499119    8.57486337    3.76011074    4.43213135    4.29292189    0.48595659   -1.00000000  -1.05130e+01
   5.000    8.77730798    8.77717165    3.79019530    4.44749277    4.33432719    0.48595659   -1.00000000  -1.03869e+01
