# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
   5.000    0.74727416    0.74727386    0.80949796    3.62962332    2.97379459    0.19346280   -1.00000000  -1.17848e+01
   5.000    0.95936927    0.95936882    1.01003437    3.64394259    2.93900535    0.19346280   -1.00000000  -1.16196e+01
   5.000    1.89365060    1.89364937    1.46780325    3.67374239    2.89582056    0.19346280   -1.00000000  -1.12836e+01
   5.000    2.29751221    2.29751062    1.58106222    3.68094148    2.89532265    0.19346280   -1.00000000  -1.12126e+01
   5.000    2.68878499    2.68878302    1.67332738    3.68629606    2.89275381    0.19346280   -1.00000000  -1.11537e+01
   5.000    3.04941370    3.04941139    1.74745326    3.69028376    2.88921112    0.19346280   -1.00000000  -1.11046e+01
   5.000    3.39772703    3.39772438    1.81114415    3.69355440    2.88563755    0.19346280   -1.00000000  -1.10623e+01
   5.000    3.73710473    3.73710175    1.86964406    3.69620021    2.87902727    0.19346280   -1.00000000  -1.10206e+01
   5.000    4.06465035    4.06464703    1.92209892    3.69858798    2.87249303    0.19346280   -1.00000000  -1.09830e+01
   5.000    4.41118224    4.41117857    1.97901020    3.70082165    2.86004112    0.19346280   -1.00000000  -1.09381e+01
   5.000    4.72414039    4.72413639    2.03033768    3.70290817    2.84693106    0.19346280   -1.00000000  -1.08974e+01
   5.000    5.00672557    5.00672127    2.07851120    3.70492297    2.83209204    0.19346280   -1.00000000  -1.08560e+01
   5.000    5.23695829    5.23695379    2.13498329    3.70705373    2.80365687    0.19346280   -1.00000000  -1.07976e+01
   5.000    5.48638620    5.48638139    2.19209802    3.70926765    2.77560639    0.19346280   -1.00000000  -1.07394e+01
   5.000    5.73005803    5.73005287    2.26004230    3.71190242    2.73706658    0.19346280   -1.00000000  -1.06652e+01
   5.000    5.95397631    5.95397075    2.34218123    3.71518552    2.68468067    0.19346280   -1.00000000  -1.05683e+01
   5.000    6.15811687    6.15811086    2.43529203    3.71956609    2.62348777    0.19346280   -1.00000000  -1.04400e+01
   5.000    6.34007990    6.34007339    2.52115518    3.72505327    2.57222418    0.19346280   -1.00000000  -1.03352e+01
   5.000    6.50732098    6.50731380    2.59229398    3.73171540    2.53927864    0.19346280   -1.00000000  -1.02395e+01
   5.000    6.67986563    6.67985456    2.64169652    3.74316921    2.54574234    0.19346280   -1.00000000  -9.88072e+00
   5.000    6.84308927    6.84307418    2.68548702    3.75563888    2.56133857    0.19346280   -1.00000000  -9.71289e+00
   5.000    6.99806311    6.99804387    2.72593696    3.76899919    2.58335733    0.19346280   -1.00000000  -9.60800e+00
   5.000    7.14549259    7.14546910    2.76479601    3.78330004    2.61028965    0.19346279   -1.00000000  -9.53328e+00
   5.000    7.28570607    7.28567823    2.80328291    3.79876485    2.64182960    0.19346279   -1.00000000  -9.47464e+00
   5.000    7.41916786    7.41913559    2.84234917    3.81497857    2.67539251    0.19346279   -1.00000000  -9.42493e+00
   5.000    7.54615652    7.54611974    2.88252213    3.83172568    2.70960519    0.19346279   -1.00000000  -9.38027e+00
   5.000    7.66694772    7.66690636    2.92399202    3.84877920    2.74338561    0.19346279   -1.00000000  -9.33834e+00
   5.000    7.78187168    7.78182566    2.96673267    3.86591093    2.77586628    0.19346279   -1.00000000  -9.29787e+00
   5.000    7.89112490    7.89107414    3.01059764    3.88308991    2.80708128    0.19346279   -1.00000000  -9.25825e+00
   5.000    7.99501832    7.99496271    3.05529646    3.90030771    2.83730552    0.19346279   -1.00000000  -9.21899e+00
   5.000    8.09374996    8.09368942    3.10056814    3.91754947    2.86675203    0.19346279   -1.00000000  -9.18015e+00
   5.000    8.18768248    8.18761688    3.14616045    3.93481370    2.89568822    0.19346279   -1.00000000  -9.14161e+00
   5.000    8.27712545    8.27705468    3.19183313    3.95209198    2.92433869    0.19346280   -1.00000000  -9.10343e+00
   5.000    8.36241381    8.36233771    3.23736712    3.96937497    2.95290470    0.19346280   -1.00000000  -9.06565e+00
   5.000    8.52595359    8.52586617    3.32707109    4.00383775    3.01035460    0.19346280   -1.00000000  -8.99550e+00
   5.000    8.61499164    8.61489840    3.37040828    4.02082585    3.03939002    0.19346280   -1.00000000  -9.08439e+00
   5.000    8.70095840    8.70086017    3.41307199    4.03781395    3.06894653    0.19346280   -1.00000000  -9.20132e+00
   5.000    8.78415453    8.78405173    3.45496038    4.05479871    3.09912745    0.19346280   -1.00000000  -9.21322e+00
   5.000    8.86486550    8.86475798    3.49598982    4.07177973    3.13002899    0.19346280   -1.00000000  -9.11353e+00
   5.000    8.94338811    8.94327545    3.53609613    4.08876321    3.16175481    0.19346280   -1.00000000  -9.01618e+00
   5.000    9.02207519    9.02195660    3.57518607    4.10574333    3.19440586    0.19346280   -1.00000000  -8.91631e+00
   5.000    9.10488730    9.10476125    3.61315250    4.12270983    3.22809438    0.19346280   -1.00000000  -8.80630e+00
   5.000    9.18623978    9.18610537    3.65001833    4.13969476    3.26289043    0.19346280   -1.00000000  -8.70303e+00
   5.000    9.26639023    9.26624639    3.68571640    4.15669980    3.29887963    0.19346280   -1.00000000  -8.60606e+00
   5.000    9.34560286    9.34544827    3.72019831    4.17372655    3.33612884    0.19346280   -1.00000000  -8.51326e+00
   5.000    9.42412794    9.42396106    3.75339919    4.19077389    3.37470995    0.19346280   -1.00000000  -8.42689e+00
   5.000    9.50221838    9.50203738    3.78526705    4.20784030    3.41468037    0.19346280   -1.00000000  -8.34257e+00
   5.000    9.58013076    9.57993349    3.81571242    4.22491801    3.45611025    0.19346280   -1.00000000  -8.26431e+00
   5.000    9.65810446    9.65788840    3.84467201    4.24199386    3.49902119    0.19346280   -1.00000000  -8.19012e+00
   5.000    9.73643232    9.73619457    3.87207337    4.25905490    3.54344715    0.19346280   -1.00000000  -8.11914e+00
   5.000    9.81550215    9.81523931    3.89786926    4.27609649    3.58943465    0.19346280   -1.00000000  -8.05323e+00
   5.000    9.89587270    9.89558080    3.92207746    4.29313859    3.63707121    0.19346280   -1.00000000  -7.99172e+00
   5.000    9.97850656    9.97818077    3.94473807    4.31024616    3.68662060    0.19346280   -1.00000000  -7.93380e+00
   5.000   10.07458613   10.07421590    3.96593238    4.32753445    3.73864850    0.19346280   -1.00000000  -7.86776e+00
   5.000   10.18473960   10.18431179    3.98587355    4.34565063    3.79572935    0.19346280   -1.00000000  -7.80208e+00
   5.000   10.32972524   10.32921139    4.00348179    4.36653154    3.86764281    0.19346280   -1.00000000  -7.74026e+00
   5.000   10.65611030   10.65538221    3.98149914    4.38975250    3.99601122    0.19346280   -1.00000000  -7.75798e+00
   5.000   11.16808110   11.16703771    3.95339275    4.40023986    4.08664215    0.19346280   -1.00000000  -7.86084e+00
   5.000   11.44453971   11.44330908    3.99898787    4.41691368    4.11818329    0.19346280   -1.00000000  -8.01292e+00
   5.000   11.63483888   11.63350339    4.04392545    4.43302570    4.14488173    0.19346280   -1.00000000  -8.16388e+00
   5.000   11.87027833   11.86884218    4.08767061    4.45058069    4.18025061    0.19346280   -1.00000000  -8.55392e+00
   5.000   12.58034132   12.57882225    4.11441065    4.46592800    4.23997565    0.19346280    0.00000000  -8.42244e+00
   5.000   12.62089565   12.61937428    4.10420781    4.45888552    4.22341839    0.19346280    0.00000000  -8.42407e+00
   5.000   12.67008552   12.66856141    4.09761685    4.45336854    4.20965152    0.19346280    0.00000000  -8.43995e+00
   5.000   12.81798588   12.81645419    4.11860766    4.45911588    4.21679176    0.19346280    0.00000000  -8.48172e+00
   5.000   13.00128754   12.99974467    4.13652837    4.46282103    4.22006400    0.19346280    0.00000000  -8.44079e+00
   5.000   13.21613264   13.21450242    4.15483882    4.46606399    4.22163484    0.19346280    0.00000000  -8.38386e+00
   5.000   13.43131410   13.42959435    4.17311781    4.46904016    4.22218408    0.19346280    0.00000000  -8.33685e+00
   5.000   13.64752175   13.64570949    4.19214882    4.47204926    4.22214599    0.19346280    0.00000000  -8.29566e+00
   5.000   13.86474351   13.86283558    4.21199149    4.47517164    4.22178191    0.19346280    0.00000000  -8.25738e+00
   5.000   14.09383944   14.09182006    4.23271414    4.47840293    4.22114685    0.19346280    0.00000000  -8.21172e+00
   5.000   14.34464514   14.34248818    4.25444864    4.48175494    4.22033237    0.19346280    0.00000000  -8.15596e+00
   5.000   14.59628445   14.59398499    4.27637828    4.48512038    4.21940129    0.19346280    0.00000000  -8.10625e+00
   5.000   14.84828935   14.84584254    4.29840418    4.48848983    4.21840087    0.19346280    0.00000000  -8.06155e+00
   5.000   15.19815376   15.19547054    4.32762050    4.49290317    4.21693259    0.19346280    0.00000000  -7.99494e+00
   5.000   15.69113607   15.68808173    4.36729878    4.49883407    4.21478774    0.19346280    0.00000000  -7.90576e+00
