# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
   5.000    0.74343591    0.74343563    0.79952889    3.62520239    2.96377982    0.48595659   -1.00000000  -1.17885e+01
   5.000    0.98398421    0.98398377    1.02044960    3.64031218    2.92503511    0.48595659   -1.00000000  -1.16064e+01
   5.000    1.20611339    1.20611278    1.16807943    3.64971866    2.90351559    0.48595659   -1.00000000  -1.14887e+01
   5.000    1.46450867    1.46450785    1.29737755    3.65793646    2.89138003    0.48595659   -1.00000000  -1.13940e+01
   5.000    1.72656569    1.72656465    1.39914461    3.66460648    2.88779042    0.48595659   -1.00000000  -1.13275e+01
   5.000    2.01717575    2.01717446    1.49071633    3.67064366    2.88789912    0.48595659   -1.00000000  -1.12710e+01
   5.000    2.33507903    2.33507746    1.57794466    3.67583096    2.88496220    0.48595659   -1.00000000  -1.12139e+01
   5.000    2.66391636    2.66391450    1.65610302    3.68026646    2.88178370    0.48595659   -1.00000000  -1.11632e+01
   5.000    3.14658108    3.14657876    1.74810534    3.68588507    2.88459072    0.48595659   -1.00000000  -1.11065e+01
   5.000    3.81260670    3.81260376    1.86907395    3.69105128    2.86770827    0.48595659   -1.00000000  -1.10202e+01
   5.000    4.17208215    4.17207886    1.92564810    3.69347711    2.85981462    0.48595659   -1.00000000  -1.09787e+01
   5.000    4.55245872    4.55245506    1.98464257    3.69578138    2.84799393    0.48595659   -1.00000000  -1.09332e+01
   5.000    4.92034177    4.92033773    2.04031366    3.69804515    2.83511027    0.48595659   -1.00000000  -1.08892e+01
   5.000    5.23735184    5.23734745    2.08881593    3.70012685    2.82219996    0.48595659   -1.00000000  -1.08510e+01
   5.000    5.48845933    5.48845473    2.14530885    3.70196002    2.79333260    0.48595659   -1.00000000  -1.07917e+01
   5.000    5.74323808    5.74323320    2.19879950    3.70398097    2.76764136    0.48595659   -1.00000000  -1.07379e+01
   5.000    6.00911082    6.00910557    2.26357949    3.70671992    2.73345617    0.48595659   -1.00000000  -1.06688e+01
   5.000    6.25647035    6.25646470    2.34452277    3.70979299    2.68200265    0.48595659   -1.00000000  -1.05644e+01
   5.000    6.47717552    6.47716944    2.43358649    3.71370575    2.62393430    0.48595659   -1.00000000  -1.04665e+01
   5.000    6.69124515    6.69123561    2.51044618    3.72182975    2.59196868    0.48595659   -1.00000000  -9.93335e+00
   5.000    6.89213100    6.89211746    2.57580824    3.73159520    2.57702467    0.48595659   -1.00000000  -9.71290e+00
   5.000    7.07887131    7.07885369    2.63102587    3.74230126    2.57518782    0.48595659   -1.00000000  -9.59090e+00
   5.000    7.25428603    7.25426421    2.67897950    3.75378108    2.58306975    0.48595659   -1.00000000  -9.51087e+00
   5.000    7.41994222    7.41991612    2.72247839    3.76595283    2.59762246    0.48595659   -1.00000000  -9.45253e+00
   5.000    7.57665925    7.57662879    2.76363076    3.77877550    2.61662004    0.48595659   -1.00000000  -9.40617e+00
   5.000    7.72515536    7.72512047    2.80407872    3.79218144    2.63819037    0.48595658   -1.00000000  -9.36596e+00
   5.000    7.86573800    7.86569862    2.84491027    3.80618310    2.66131265    0.48595658   -1.00000000  -9.32917e+00
   5.000    7.99876924    7.99872532    2.88688854    3.82079602    2.68530630    0.48595657   -1.00000000  -9.29326e+00
   5.000    8.12408689    8.12403838    2.93011387    3.83639339    2.71155465    0.48595657   -1.00000000  -9.25752e+00
   5.000    8.24212698    8.24207384    2.97465584    3.85264438    2.73868944    0.48595656   -1.00000000  -9.22133e+00
   5.000    8.35339697    8.35333913    3.02041593    3.86930038    2.76584338    0.48595656   -1.00000000  -9.18439e+00
   5.000    8.45828687    8.45822427    3.06720713    3.88614894    2.79237582    0.48595656   -1.00000000  -9.14656e+00
   5.000    9.05864218    9.05854188    3.40086445    4.00481377    2.96668335    0.48595659   -1.00000000  -8.87623e+00
   5.000    9.14337518    9.14326828    3.44570965    4.02139108    2.99202429    0.48595659   -1.00000000  -8.93255e+00
   5.000    9.22490925    9.22479635    3.48977687    4.03798360    3.01805770    0.48595659   -1.00000000  -8.96072e+00
   5.000    9.30357855    9.30345988    3.53295884    4.05459404    3.04491700    0.48595659   -1.00000000  -8.94360e+00
   5.000    9.37971324    9.37958843    3.57516846    4.07123008    3.07273505    0.48595659   -1.00000000  -8.83581e+00
   5.000    9.45363045    9.45349879    3.61632943    4.08790104    3.10163992    0.48595659   -1.00000000  -8.73157e+00
   5.000    9.52562259    9.52548320    3.65637069    4.10461657    3.13175464    0.48595659   -1.00000000  -8.63113e+00
   5.000    9.59596859    9.59582038    3.69522627    4.12138769    3.16320203    0.48595659   -1.00000000  -8.53431e+00
   5.000    9.66493848    9.66478015    3.73282774    4.13822556    3.19610752    0.48595659   -1.00000000  -8.44099e+00
   5.000    9.73279072    9.73262067    3.76909402    4.15513937    3.23060076    0.48595659   -1.00000000  -8.35112e+00
   5.000    9.79978401    9.79960032    3.80392775    4.17213844    3.26682819    0.48595659   -1.00000000  -8.26465e+00
   5.000    9.86616249    9.86596290    3.83722707    4.18922317    3.30490445    0.48595659   -1.00000000  -8.18233e+00
   5.000    9.93217066    9.93195251    3.86885509    4.20638958    3.34496168    0.48595659   -1.00000000  -8.10306e+00
   5.000    9.99807128    9.99783141    3.89865918    4.22362844    3.38712761    0.48595659   -1.00000000  -8.02912e+00
   5.000   10.07401916   10.07375037    3.92677442    4.24107823    3.43196248    0.48595659   -1.00000000  -7.94314e+00
   5.000   10.15096449   10.15066165    3.95282467    4.25858665    3.47912954    0.48595659   -1.00000000  -7.86413e+00
   5.000   10.22928654   10.22894363    3.97671871    4.27616640    3.52879489    0.48595659   -1.00000000  -7.79209e+00
   5.000   10.31021521   10.30982482    3.99843547    4.29390714    3.58138909    0.48595659   -1.00000000  -7.72631e+00
   5.000   10.39651897   10.39607097    4.01796208    4.31210000    3.63820399    0.48595659   -1.00000000  -7.66521e+00
   5.000   10.49797204   10.49744731    4.03508171    4.33193498    3.70462074    0.48595659   -1.00000000  -7.60931e+00
   5.000   10.67161048   10.67093769    4.03822714    4.35718804    3.80966925    0.48595659   -1.00000000  -7.57673e+00
   5.000   10.95975136   10.95884447    3.95725105    4.36163549    3.92035337    0.48595659   -1.00000000  -7.73648e+00
   5.000   11.41346033   11.41224246    3.91700384    4.35410404    3.94775469    0.48595659   -1.00000000  -7.88495e+00
   5.000   12.19696754   12.19509755    4.01244386    4.37212391    3.95338539    0.48595659   -1.00000000  -7.71461e+00
   5.000   12.94509103   12.94235299    4.10722152    4.39435675    3.97351997    0.48595659    0.00000000  -7.52646e+00
   5.000   13.08217006   13.07923735    4.12422868    4.39888131    3.97915897    0.48595659    0.00000000  -7.49016e+00
   5.000   13.21345476   13.21031996    4.14023644    4.40331282    3.98509712    0.48595659    0.00000000  -7.45311e+00
   5.000   13.33198408   13.32865943    4.15514601    4.40763288    3.99127748    0.48595659    0.00000000  -7.42034e+00
   5.000   13.43969796   13.43619442    4.16910989    4.41184037    3.99760544    0.48595659    0.00000000  -7.39091e+00
   5.000   13.53962576   13.53595070    4.18237647    4.41596000    4.00402887    0.48595659    0.00000000  -7.36392e+00
   5.000   13.62549313   13.62166532    4.19441614    4.41991350    4.01056263    0.48595659    0.00000000  -7.33991e+00
   5.000   13.70903517   13.70505487    4.20620765    4.42382726    4.01711082    0.48595659    0.00000000  -7.31695e+00
   5.000   13.78144076   13.77735302    4.21700368    4.42755906    4.02356950    0.48595659    0.00000000  -7.44493e+00
   5.000   13.85231342   13.84812392    4.22762256    4.43125934    4.03003016    0.48595659    0.00000000  -7.67278e+00
   5.000   13.91499474   13.91072816    4.23739635    4.43482094    4.03651820    0.48595659    0.00000000  -7.86678e+00
   5.000   13.97787541   13.97353574    4.24712106    4.43838047    4.04305366    0.48595659    0.00000000  -8.20459e+00
   5.000   14.04337358   14.03899323    4.25652552    4.44191929    4.04981547    0.48595659    0.00000000  -8.22421e+00
   5.000   14.11275610   14.10834984    4.26581420    4.44548048    4.05685037    0.48595659    0.00000000  -8.18364e+00
   5.000   14.18403476   14.17960122    4.27492714    4.44906547    4.06421294    0.48595659    0.00000000  -8.14379e+00
   5.000   14.26420553   14.25974034    4.28394448    4.45277670    4.07244251    0.48595659    0.00000000  -8.10347e+00
   5.000   14.36229890   14.35779378    4.29299391    4.45671998    4.08210511    0.48595659    0.00000000  -8.06287e+00
   5.000   14.50370349   14.49913863    4.30208220    4.46103053    4.09449551    0.48595659    0.00000000  -8.02016e+00
   5.000   14.72256231   14.71790138    4.31034008    4.46517639    4.10937800    0.48595659    0.00000000  -7.98500e+00
   5.000   14.97069208   14.96591888    4.31821572    4.46778650    4.11937655    0.48595659    0.00000000  -7.97066e+00
   5.000   15.24746752   15.24290772    4.33170374    4.47032882    4.12388032    0.48595659    0.00000000  -7.94083e+00
   5.000   15.54302453   15.53872914    4.35284840    4.47406591    4.12597786    0.48595659    0.00000000  -7.89768e+00
   5.000   15.83981193   15.83577338    4.37674764    4.47819816    4.12693576    0.48595659    0.00000000  -7.84776e+00
   5.000   16.14919029   16.14514532    4.40067946    4.48211779    4.12710269    0.48595659    0.00000000  -7.79180e+00
   5.000   16.47042096   16.46606293    4.42449455    4.48588818    4.12682081    0.48595659    0.00000000  -7.73368e+00
   5.000   16.79247084   16.78778575    4.44864177    4.48967697    4.12630165    0.48595659    0.00000000  -7.68251e+00
   5.000   17.13335156   17.12828572    4.47370955    4.49359133    4.12565832    0.48595659    0.00000000  -7.62791e+00
   5.000   17.50627204   17.50073747    4.49995287    4.49765608    4.12492249    0.48595659    0.00000000  -7.56609e+00
   5.000   17.87942661   17.87340229    4.52621081    4.50171297    4.12414593    0.48595659    0.00000000  -7.51186e+00
   5.000   18.29493563   18.28829849    4.55397853    4.50596664    4.12330028    0.48595659    0.00000000  -7.44861e+00
   5.000   18.73002396   18.72269711    4.58243608    4.51030983    4.12241949    0.48595659    0.00000000  -7.38732e+00
   5.000   19.16353828   19.15547042    4.61007896    4.51453018    4.12162739    0.48595659    0.00000000  -7.32895e+00
