# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
   5.000    0.66676040    0.66676016    0.74494383    3.63010291    2.99054124    0.30661788   -1.00000000  -1.18318e+01
   5.000    0.87263373    0.87263336    0.95564368    3.64501480    2.95644294    0.30661788   -1.00000000  -1.16594e+01
   5.000    1.05792618    1.05792567    1.09306800    3.65424015    2.93965608    0.30661788   -1.00000000  -1.15515e+01
   5.000    1.25342856    1.25342791    1.20438520    3.66172120    2.93194908    0.30661788   -1.00000000  -1.14738e+01
   5.000    1.47143827    1.47143744    1.30309806    3.66843363    2.92968872    0.30661788   -1.00000000  -1.14102e+01
   5.000    1.72960355    1.72960251    1.39981421    3.67477943    2.92857753    0.30661788   -1.00000000  -1.13484e+01
   5.000    2.02260040    2.02259911    1.49271442    3.68048233    2.92640515    0.30661788   -1.00000000  -1.12887e+01
   5.000    2.36066097    2.36065939    1.58598374    3.68560969    2.92076646    0.30661788   -1.00000000  -1.12261e+01
   5.000    2.70370233    2.70370044    1.66766752    3.68982631    2.91497969    0.30661788   -1.00000000  -1.11716e+01
   5.000    3.51191602    3.51191338    1.82341968    3.69725420    2.90249438    0.30661788   -1.00000000  -1.10654e+01
   5.000    3.87287908    3.87287611    1.88368762    3.69977251    2.89477885    0.30661788   -1.00000000  -1.10223e+01
   5.000    4.23231619    4.23231287    1.94065695    3.70203980    2.88540012    0.30661788   -1.00000000  -1.09807e+01
   5.000    4.60281867    4.60281499    1.99936087    3.70414743    2.87146985    0.30661788   -1.00000000  -1.09335e+01
   5.000    4.95295353    4.95294949    2.05505700    3.70618653    2.85583835    0.30661788   -1.00000000  -1.08872e+01
   5.000    5.25948899    5.25948462    2.10755532    3.70812489    2.83724168    0.30661788   -1.00000000  -1.08406e+01
   5.000    5.51129363    5.51128902    2.16834609    3.70997212    2.80414849    0.30661788   -1.00000000  -1.07762e+01
   5.000    5.76482416    5.76481925    2.22882271    3.71213647    2.77185833    0.30661788   -1.00000000  -1.07121e+01
   5.000    6.00762789    6.00762262    2.30096550    3.71489260    2.72865779    0.30661788   -1.00000000  -1.06311e+01
   5.000    6.23725141    6.23724571    2.39319578    3.71873933    2.66777880    0.30661788   -1.00000000  -1.05052e+01
   5.000    6.43991321    6.43990705    2.48524260    3.72364281    2.60943577    0.30661788   -1.00000000  -1.04006e+01
   5.000    6.81853046    6.81851764    2.60700439    3.74238008    2.58480730    0.30661788   -1.00000000  -9.75197e+00
   5.000    6.99330712    6.99329027    2.65340972    3.75362775    2.59327286    0.30661788   -1.00000000  -9.62032e+00
   5.000    7.15871047    7.15868947    2.69588409    3.76556246    2.60788765    0.30661788   -1.00000000  -9.53254e+00
   5.000    7.31562289    7.31559767    2.73643057    3.77813940    2.62651929    0.30661787   -1.00000000  -9.46720e+00
   5.000    7.46450218    7.46447266    2.77650904    3.79133190    2.64762697    0.30661787   -1.00000000  -9.41372e+00
   5.000    7.60575934    7.60572545    2.81719314    3.80519301    2.67037265    0.30661787   -1.00000000  -9.36663e+00
   5.000    7.73928367    7.73924536    2.85888567    3.82020923    2.69629314    0.30661786   -1.00000000  -9.32337e+00
   5.000    7.86522539    7.86518262    2.90181658    3.83609582    2.72402805    0.30661786   -1.00000000  -9.28198e+00
   5.000    7.98416120    7.98411392    2.94596634    3.85251350    2.75227242    0.30661786   -1.00000000  -9.24126e+00
   5.000    8.09651681    8.09646494    2.99128426    3.86916578    2.77991508    0.30661786   -1.00000000  -9.20082e+00
   5.000    8.20267178    8.20261527    3.03749444    3.88589104    2.80660685    0.30661786   -1.00000000  -9.16042e+00
   5.000    8.30293450    8.30287325    3.08436938    3.90266155    2.83248175    0.30661786   -1.00000000  -9.11996e+00
   5.000    8.39767276    8.39760668    3.13161380    3.91945484    2.85776596    0.30661786   -1.00000000  -9.07946e+00
   5.000    9.00182951    9.00172260    3.50132431    4.05377082    3.05945173    0.30661788   -1.00000000  -8.95495e+00
   5.000    9.07943881    9.07932533    3.54397994    4.07034603    3.08664789    0.30661788   -1.00000000  -8.83223e+00
   5.000    9.15462844    9.15450757    3.58577446    4.08694619    3.11469418    0.30661788   -1.00000000  -8.71622e+00
   5.000    9.22768699    9.22755772    3.62664273    4.10358375    3.14371879    0.30661788   -1.00000000  -8.60580e+00
   5.000    9.29888863    9.29874971    3.66652061    4.12027147    3.17384940    0.30661788   -1.00000000  -8.50020e+00
   5.000    9.36849452    9.36834442    3.70533932    4.13702259    3.20521970    0.30661788   -1.00000000  -8.39893e+00
   5.000    9.43675363    9.43659051    3.74301411    4.15385114    3.23798194    0.30661788   -1.00000000  -8.30162e+00
   5.000    9.50391145    9.50373308    3.77944236    4.17076799    3.27229341    0.30661788   -1.00000000  -8.20813e+00
   5.000    9.57020547    9.57000916    3.81449781    4.18777914    3.30831528    0.30661788   -1.00000000  -8.11854e+00
   5.000    9.63587704    9.63565963    3.84800629    4.20488587    3.34623780    0.30661788   -1.00000000  -8.03365e+00
   5.000    9.70117511    9.70093284    3.87979285    4.22208208    3.38622288    0.30661788   -1.00000000  -7.95193e+00
   5.000    9.76639647    9.76612493    3.90966768    4.23935776    3.42843391    0.30661788   -1.00000000  -7.87510e+00
   5.000    9.83192779    9.83162180    3.93748739    4.25671245    3.47303008    0.30661788   -1.00000000  -7.80367e+00
   5.000    9.89835971    9.89801314    3.96316609    4.27417426    3.52023665    0.30661788   -1.00000000  -7.73626e+00
   5.000    9.96684846    9.96645360    3.98661418    4.29185007    3.57062367    0.30661788   -1.00000000  -7.67367e+00
   5.000   10.04608349   10.04562550    4.00791334    4.31010828    3.62577921    0.30661788   -1.00000000  -7.60803e+00
   5.000   10.14650599   10.14595722    4.02687400    4.33031528    3.69179969    0.30661788   -1.00000000  -7.53959e+00
   5.000   10.33294975   10.33220673    4.02748690    4.35679647    3.80482135    0.30661788   -1.00000000  -7.49992e+00
   5.000   10.59776105   10.59675597    3.94274144    4.35726265    3.90238288    0.30661788   -1.00000000  -7.65213e+00
   5.000   11.02079108   11.01944708    3.90576611    4.35200147    3.93573687    0.30661788   -1.00000000  -7.83263e+00
   5.000   11.79949009   11.79734907    4.01216294    4.37314969    3.94333324    0.30661788   -1.00000000  -7.61728e+00
   5.000   12.41396141   12.41092977    4.09757591    4.39474326    3.96623470    0.30661788    0.00000000  -7.43662e+00
   5.000   12.51468687   12.51148357    4.11205646    4.39889958    3.97187578    0.30661788    0.00000000  -7.40671e+00
   5.000   12.60592187   12.60255713    4.12563186    4.40295124    3.97767378    0.30661788    0.00000000  -7.37957e+00
   5.000   12.69006022   12.68654151    4.13851491    4.40691452    3.98356413    0.30661788    0.00000000  -7.35449e+00
   5.000   12.76572869   12.76206672    4.15058355    4.41077008    3.98954386    0.30661788    0.00000000  -7.33145e+00
   5.000   12.83446350   12.83066722    4.16195064    4.41452241    3.99557148    0.30661788    0.00000000  -7.30997e+00
   5.000   12.89807416   12.89414999    4.17279488    4.41819842    4.00163875    0.30661788    0.00000000  -7.28969e+00
   5.000   12.95781196   12.95376411    4.18320455    4.42179709    4.00769671    0.30661788    0.00000000  -7.26911e+00
   5.000   13.01454714   13.01037976    4.19327964    4.42533314    4.01373453    0.30661788    0.00000000  -7.24754e+00
   5.000   13.07486216   13.07056394    4.20294376    4.42879455    4.01981626    0.30661788    0.00000000  -7.26629e+00
   5.000   13.13201190   13.12759483    4.21235517    4.43222372    4.02595766    0.30661788    0.00000000  -7.27655e+00
   5.000   13.18870689   13.18417900    4.22153980    4.43564060    4.03226230    0.30661788    0.00000000  -7.30994e+00
   5.000   13.24540738   13.24077579    4.23052588    4.43905341    4.03874965    0.30661788    0.00000000  -7.37046e+00
   5.000   13.30544050   13.30072699    4.23935231    4.44251018    4.04568051    0.30661788    0.00000000  -7.69888e+00
   5.000   13.37222999   13.36742981    4.24810345    4.44608848    4.05339015    0.30661788    0.00000000  -8.08603e+00
   5.000   13.45318022   13.44827388    4.25680092    4.44989455    4.06251983    0.30661788    0.00000000  -8.04679e+00
   5.000   13.56789397   13.56283528    4.26535637    4.45407384    4.07437004    0.30661788    0.00000000  -8.00590e+00
   5.000   13.74879089   13.74348865    4.27238594    4.45816816    4.08953418    0.30661788    0.00000000  -7.97208e+00
   5.000   13.95509546   13.94951269    4.27756075    4.46058107    4.10064431    0.30661788    0.00000000  -7.96121e+00
   5.000   14.17992821   14.17420568    4.28677266    4.46255122    4.10614784    0.30661788    0.00000000  -7.94040e+00
   5.000   14.43030309   14.42446619    4.30456110    4.46583678    4.10900327    0.30661788    0.00000000  -7.90445e+00
   5.000   14.68301452   14.67705471    4.32656063    4.46981489    4.11048761    0.30661788    0.00000000  -7.85636e+00
   5.000   14.93977110   14.93367756    4.34892224    4.47363650    4.11110487    0.30661788    0.00000000  -7.80963e+00
   5.000   15.21441287   15.20848179    4.37111914    4.47722545    4.11108554    0.30661788    0.00000000  -7.75260e+00
   5.000   15.49540993   15.48972351    4.39361389    4.48077390    4.11067030    0.30661788    0.00000000  -7.69845e+00
   5.000   15.77744620   15.77199220    4.41654391    4.48438505    4.11009946    0.30661788    0.00000000  -7.64992e+00
   5.000   16.07234204   16.06696074    4.44022359    4.48810498    4.10944732    0.30661788    0.00000000  -7.59988e+00
   5.000   16.41021436   16.40434892    4.46569207    4.49206627    4.10871027    0.30661788    0.00000000  -7.53690e+00
   5.000   16.74889183   16.74251917    4.49121688    4.49602597    4.10793117    0.30661788    0.00000000  -7.48176e+00
   5.000   17.07714310   17.07024773    4.51551883    4.49978012    4.10716190    0.30661788    0.00000000  -7.43112e+00
   5.000   17.37428361   17.36686547    4.53624067    4.50296214    4.10653441    0.30661788    0.00000000  -7.38124e+00
   5.000   17.67290153   17.66493432    4.55705759    4.50615342    4.10588497    0.30661788    0.00000000  -7.33630e+00
   5.000   17.97338379   17.96483912    4.57800788    4.50936289    4.10522068    0.30661788    0.00000000  -7.29530e+00
   5.000   18.37575056   18.36632162    4.60421296    4.51337751    4.10454181    0.30661788    0.00000000  -7.23398e+00
   5.000   18.78887167   18.77848554    4.63099555    4.51747938    4.10384986    0.30661788    0.00000000  -7.17816e+00
   5.000   19.27522096   19.26357676    4.66133960    4.52210656    4.10308081    0.30661788    0.00000000  -7.11315e+00
   5.000   19.83752702   19.82429002    4.69533979    4.52726254    4.10220312    0.30661788    0.00000000  -7.04287e+00
   5.000   20.43903353   20.42368300    4.72720651    4.53199997    4.10138242    0.30661788    0.00000000  -6.94860e+00
   5.000   21.05768379   21.03991801    4.75826209    4.53657700    4.10059006    0.30661788    0.00000000  -6.86005e+00
   5.000   21.67826498   21.65794620    4.78939451    4.54115358    4.09975438    0.30661788    0.00000000  -6.78629e+00
