# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
   5.000    0.50834973    0.50834949    0.70467260    3.69008576    3.15292429    0.19346280   -1.00000000  -1.18941e+01
   5.000    0.60438904    0.60438872    0.83723981    3.69866081    3.12997756    0.19346280   -1.00000000  -1.17858e+01
   5.000    0.72598216    0.72598173    0.96605007    3.70629128    3.11115469    0.19346280   -1.00000000  -1.16829e+01
   5.000    0.92722008    0.92721948    1.11981171    3.71505343    3.09879905    0.19346280   -1.00000000  -1.15743e+01
   5.000    1.27526916    1.27526823    1.29947441    3.72482473    3.09671424    0.19346280   -1.00000000  -1.14657e+01
   5.000    1.48506981    1.48506868    1.38501878    3.72888184    3.09357476    0.19346280   -1.00000000  -1.14125e+01
   5.000    2.02893163    2.02892995    1.56532036    3.73614076    3.07777440    0.19346280   -1.00000000  -1.12895e+01
   5.000    2.45556446    2.45556234    1.68794115    3.74021426    3.05434932    0.19346280   -1.00000000  -1.11987e+01
   5.000    2.77782408    2.77782160    1.77948651    3.74296614    3.02740484    0.19346280   -1.00000000  -1.11236e+01
   5.000    3.00231717    3.00231442    1.84726722    3.74508039    3.00187685    0.19346280   -1.00000000  -1.10638e+01
   5.000    3.16670286    3.16669996    1.92344336    3.74710063    2.95688933    0.19346280   -1.00000000  -1.09800e+01
   5.000    3.34214194    3.34213880    2.00875738    3.74943014    2.90431208    0.19346280   -1.00000000  -1.08856e+01
   5.000    3.50713628    3.50713285    2.11282661    3.75219318    2.83225848    0.19346280   -1.00000000  -1.07625e+01
   5.000    3.65185748    3.65185373    2.22900955    3.75579600    2.74801882    0.19346280   -1.00000000  -1.06140e+01
   5.000    3.78015336    3.78014923    2.32830446    3.76045928    2.68238884    0.19346280   -1.00000000  -1.04861e+01
   5.000    3.89374799    3.89374345    2.40317628    3.76651855    2.64462840    0.19346280   -1.00000000  -1.03966e+01
   5.000    3.99107657    3.99107161    2.46193929    3.77444132    2.62831733    0.19346279   -1.00000000  -1.03340e+01
   5.000    4.10048323    4.10047780    2.51906272    3.78864134    2.63951620    0.19346279   -1.00000000  -1.02818e+01
   5.000    4.20481796    4.20481205    2.57224713    3.80733458    2.67209283    0.19346279   -1.00000000  -1.02504e+01
   5.000    4.30665502    4.30664862    2.62178909    3.82777582    2.71469967    0.19346278   -1.00000000  -1.02268e+01
   5.000    4.40682702    4.40682012    2.66881502    3.84832661    2.75982340    0.19346278   -1.00000000  -1.02069e+01
   5.000    4.50461694    4.50460953    2.71436664    3.86872573    2.80557819    0.19346278   -1.00000000  -1.01910e+01
   5.000    4.62321572    4.62320759    2.76889611    3.89794242    2.87902998    0.19346277   -1.00000000  -1.01774e+01
   5.000    4.73857292    4.73856406    2.82216915    3.92733923    2.95423405    0.19346276   -1.00000000  -1.01683e+01
   5.000    4.83220628    4.83219689    2.86001699    3.94660487    3.00179199    0.19346276   -1.00000000  -1.01569e+01
   5.000    4.92240874    4.92239883    2.89624540    3.96556307    3.04943388    0.19346276   -1.00000000  -1.01485e+01
   5.000    5.01160166    5.01159122    2.93140567    3.98428523    3.09705937    0.19346275   -1.00000000  -1.01417e+01
   5.000    5.10019212    5.10018115    2.96443500    4.00251907    3.14447404    0.19346275   -1.00000000  -1.01353e+01
   5.000    5.18821290    5.18820139    2.99680209    4.02058064    3.19181360    0.19346275   -1.00000000  -1.01305e+01
   5.000    5.27347450    5.27346248    3.02689436    4.03687036    3.23401413    0.19346276   -1.00000000  -1.01252e+01
   5.000    5.35373154    5.35371910    3.05276643    4.04916653    3.26381259    0.19346276   -1.00000000  -1.01163e+01
   5.000    5.43351032    5.43349745    3.07824814    4.06132899    3.29342788    0.19346276   -1.00000000  -1.01113e+01
   5.000    5.51703476    5.51702149    3.10439095    4.07329634    3.32190440    0.19346276   -1.00000000  -1.02322e+01
   5.000    5.61962180    5.61960814    3.13630418    4.09196344    3.37252018    0.19346277   -1.00000000  -1.07584e+01
   5.000    5.72276671    5.72275281    3.16778855    4.10952274    3.41923792    0.19346278   -1.00000000  -1.27039e+01
   5.000    5.85371186    5.85369769    3.20693032    4.13455326    3.48998899    0.19346279   -1.00000000  -9.90000e+01
   5.000    5.99545100    5.99543677    3.24883781    4.16256779    3.57065070    0.19346281   -1.00000000  -1.25891e+01
   5.000    6.12638670    6.12636529    3.28101189    4.18031131    3.61821601    0.19346282   -1.00000000  -1.11252e+01
   5.000    6.25760907    6.25758041    3.31289635    4.19789479    3.66544996    0.19346282   -1.00000000  -1.07960e+01
   5.000    6.38943346    6.38939747    3.34456505    4.21533475    3.71236588    0.19346283   -1.00000000  -1.05971e+01
   5.000    6.52242850    6.52238504    3.37615496    4.23265487    3.75895961    0.19346283   -1.00000000  -1.04503e+01
   5.000    6.65592091    6.65586989    3.40754326    4.24982483    3.80518757    0.19346283   -1.00000000  -1.03325e+01
   5.000    6.79037645    6.79031773    3.43885695    4.26686531    3.85103672    0.19346282   -1.00000000  -1.02330e+01
   5.000    6.92591173    6.92584515    3.47014066    4.28379274    3.89653589    0.19346281   -1.00000000  -1.01458e+01
   5.000    7.06633070    7.06625765    3.50046228    4.30027265    3.94106854    0.19346280   -1.00000000  -1.00655e+01
   5.000    7.21369929    7.21362142    3.52986524    4.31632689    3.98471359    0.19346280   -1.00000000  -9.99050e+00
   5.000    7.36404837    7.36396550    3.55947568    4.33242132    4.02849057    0.19346280   -1.00000000  -9.92202e+00
   5.000    7.51846614    7.51837800    3.58935561    4.34855363    4.07239338    0.19346280   -1.00000000  -9.85879e+00
   5.000    7.68730436    7.68721032    3.61875417    4.36449253    4.11614338    0.19346280   -1.00000000  -1.12266e+01
   5.000    7.85844202    7.85834230    3.64826131    4.38032131    4.15954470    0.19346280   -1.00000000  -1.10837e+01
   5.000    8.03385013    8.03374444    3.67770437    4.39597568    4.20243680    0.19346280   -1.00000000  -1.09497e+01
   5.000    8.22241588    8.22230317    3.70740801    4.41152968    4.24487839    0.19346280   -1.00000000  -1.08069e+01
   5.000    8.41185342    8.41173362    3.73743008    4.42693304    4.28644488    0.19346280   -1.00000000  -1.06826e+01
   5.000    8.60853977    8.60841222    3.76791346    4.44218159    4.32698579    0.19346280   -1.00000000  -1.05575e+01
   5.000    8.81464545    8.81450943    3.79947169    4.45743519    4.36667422    0.19346280   -1.00000000  -1.04353e+01
   5.000    9.02637253    9.02622760    3.83208693    4.47279014    4.40588759    0.19346280   -1.00000000  -1.03199e+01
   5.000    9.26597973    9.26582348    3.86609351    4.48807524    4.44398492    0.19346280   -1.00000000  -1.01870e+01
   5.000    9.54879878    9.54862903    3.90455868    4.50515347    4.48677336    0.19346280   -1.00000000  -1.00598e+01
   5.000   10.02499977   10.02480696    3.95326864    4.52612412    4.54373507    0.19346280   -1.00000000  -9.93255e+00
   5.000   10.74584294   10.74560877    3.94431526    4.52573392    4.58085512    0.19346280   -1.00000000  -9.96477e+00
   5.000   11.70699364   11.70669815    3.99276547    4.52917658    4.58341055    0.19346280    0.00000000  -9.90161e+00
   5.000   11.93407024   11.93375960    4.01407575    4.53168872    4.58072936    0.19346280    0.00000000  -9.87123e+00
   5.000   12.18350179   12.18317283    4.03772652    4.53456970    4.57747242    0.19346280    0.00000000  -9.82191e+00
   5.000   12.44352015   12.44317139    4.06296898    4.53773229    4.57391865    0.19346280    0.00000000  -9.76884e+00
   5.000   12.70585731   12.70548847    4.08917652    4.54109679    4.57028806    0.19346280    0.00000000  -9.71937e+00
   5.000   12.96898167   12.96859256    4.11579525    4.54457454    4.56672664    0.19346280    0.00000000  -9.67370e+00
   5.000   13.29928564   13.29886821    4.14672276    4.54865275    4.56282208    0.19346280    0.00000000  -9.60448e+00
   5.000   13.63915774   13.63871065    4.17822724    4.55286118    4.55908938    0.19346280    0.00000000  -9.54119e+00
   5.000   13.97874985   13.97827290    4.20960020    4.55709498    4.55558069    0.19346280    0.00000000  -9.48582e+00
   5.000   14.31247227   14.31196281    4.23796856    4.56095884    4.55271374    0.19346280    0.00000000  -9.42347e+00
   5.000   14.64699196   14.64644943    4.26617102    4.56482128    4.54998373    0.19346280    0.00000000  -9.36795e+00
   5.000   14.98216463   14.98158866    4.29437012    4.56869969    4.54734046    0.19346280    0.00000000  -9.31860e+00
   5.000   15.32861498   15.32800125    4.32133785    4.57241651    4.54498442    0.19346280    0.00000000  -9.26109e+00
   5.000   15.67572245   15.67507035    4.34821042    4.57612974    4.54269309    0.19346280    0.00000000  -9.20962e+00
   5.000   16.02718379   16.02649247    4.37539381    4.57989534    4.54042240    0.19346280    0.00000000  -9.16303e+00
   5.000   16.43840099   16.43765891    4.40469137    4.58393931    4.53808061    0.19346280    0.00000000  -9.10180e+00
   5.000   16.84999827   16.84920510    4.43415114    4.58801525    4.53576063    0.19346280    0.00000000  -9.04873e+00
   5.000   17.27745505   17.27660587    4.46336330    4.59205804    4.53355555    0.19346280    0.00000000  -8.99291e+00
   5.000   17.71420454   17.71329614    4.49244522    4.59608472    4.53142112    0.19346280    0.00000000  -8.93910e+00
   5.000   18.19742898   18.19645133    4.52334953    4.60035449    4.52920625    0.19346280    0.00000000  -8.88018e+00
   5.000   18.76771802   18.76665265    4.55765515    4.60507395    4.52682472    0.19346280    0.00000000  -8.81049e+00
   5.000   19.33789788   19.33674351    4.59195035    4.60979506    4.52445769    0.19346280    0.00000000  -8.75040e+00
   5.000   19.90802235   19.90677759    4.62624014    4.61451779    4.52210121    0.19346280    0.00000000  -8.69759e+00
   5.000   20.57541925   20.57404847    4.65993444    4.61910992    4.52003103    0.19346280    0.00000000  -8.61544e+00
   5.000   21.26155675   21.26005115    4.69351606    4.62367795    4.51801861    0.19346280    0.00000000  -8.54083e+00
   5.000   21.94809053   21.94644764    4.72711816    4.62824960    4.51600789    0.19346280    0.00000000  -8.47708e+00
   5.000   22.63540613   22.63362328    4.76076015    4.63282718    4.51399608    0.19346280    0.00000000  -8.42139e+00
   5.000   23.32311567   23.32119015    4.79442362    4.63740797    4.51198323    0.19346280    0.00000000  -8.37196e+00
   5.000   24.01116303   24.00909199    4.82810625    4.64199148    4.50996863    0.19346280    0.00000000  -8.32752e+00
   5.000   24.69940115   24.69718165    4.86180119    4.64657657    4.50795165    0.19346280    0.00000000  -8.28714e+00
   5.000   25.47670099   25.47429061    4.89459803    4.65097891    4.50613753    0.19346280    0.00000000  -8.23082e+00
   5.000   26.32359750   26.32096122    4.92671874    4.65524226    4.50447972    0.19346280    0.00000000  -8.16800e+00
   5.000   27.17123350   27.16836627    4.95887008    4.65950942    4.50281813    0.19346280    0.00000000  -8.11301e+00
   5.000   28.02289828   28.01979389    4.99117698    4.66379701    4.50114647    0.19346280    0.00000000  -8.06394e+00
   5.000   28.87691226   28.87356463    5.02357585    4.66809643    4.49946731    0.19346280    0.00000000  -8.01967e+00
   5.000   29.73144147   29.72784479    5.05599723    4.67239841    4.49778394    0.19346280    0.00000000  -7.97942e+00
   5.000   30.98490500   30.98106500    5.09294801    4.67712488    4.49598421    0.19346280    0.00000000  -7.90143e+00
   5.000   32.43376289   32.42967039    5.13231837    4.68208864    4.49411123    0.19346280    0.00000000  -7.81941e+00
   5.000   33.89819224   33.89383015    5.17211614    4.68710522    4.49221163    0.19346280    0.00000000  -7.74966e+00
   5.000   35.38898290   35.38433101    5.21263489    4.69221157    4.49027097    0.19346280    0.00000000  -7.68848e+00
   5.000   36.89777049   36.89280897    5.25364777    4.69737927    4.48830064    0.19346279    0.00000000  -7.63416e+00
   5.000   38.42455891   38.41926687    5.29515486    4.70260803    4.48629935    0.19346279    0.00000000  -7.58526e+00
   5.000   39.96826895   39.96262451    5.33712733    4.70789400    4.48426743    0.19346278    0.00000000  -7.54077e+00
   5.000   41.53015048   41.52383133    5.38258791    4.71361559    4.48162797    0.19346274    0.00000000  -7.50222e+00
   5.000   42.15308276   42.14693491    5.39567853    4.71525024    4.48144443    0.19346275    0.00000000  -7.48360e+00
   5.000   42.37556361   42.36940179    5.40047018    4.71583122    4.48125043    0.19346274    0.00000000  -7.47689e+00
   5.000   42.60241668   42.59624253    5.40534804    4.71642375    4.48106112    0.19346273    0.00000000  -7.47015e+00
   5.000   50.07614979   50.06900951    5.55096787    4.73359357    4.47434104    0.19346261    0.00000000  -7.27316e+00
   5.000   51.12277222   51.11558403    5.56908727    4.73566991    4.47350852    0.19346257    0.00000000  -7.24928e+00
   5.000   52.70424221   52.69648831    5.59618002    4.73869199    4.47177072    0.19346239    0.00000000  -7.21361e+00
   5.000   52.70424221   52.69625026    5.59641157    4.73868520    4.47151007    0.19346222    0.00000000  -7.21311e+00
   5.000   52.70424221   52.69812725    5.59464741    4.73873091    4.47354010    0.19346307    0.00000000  -7.21729e+00
   5.000   53.74130033   53.73613660    5.61112503    4.74074397    4.47386978    0.19346395    0.00000000  -7.19801e+00
   5.000   53.99214481   53.98491499    5.61636034    4.74103522    4.47142405    0.19346255    0.00000000  -7.18773e+00
   5.000   55.89506259   55.88739900    5.64606107    4.74432419    4.46991468    0.19346246    0.00000000  -7.14932e+00
   5.000   58.58828956   58.57970922    5.68589652    4.74869405    4.46798322    0.19346234    0.00000000  -7.09842e+00
   5.000   60.94552508   60.93613400    5.71840647    4.75220626    4.46644829    0.19346225    0.00000000  -7.05638e+00
   5.000   64.07072580   64.06018900    5.75974384    4.75659864    4.46440367    0.19346208    0.00000000  -7.00485e+00
   5.000   67.29111489   67.27936098    5.79951550    4.76074465    4.46242008    0.19346189    0.00000000  -6.95538e+00
   5.000   70.57138449   70.55834087    5.83826357    4.76472960    4.46046837    0.19346171    0.00000000  -6.90897e+00
   5.000   73.86829582   73.85392913    5.87437093    4.76834819    4.45858844    0.19346156    0.00000000  -6.86503e+00
   5.000   77.82853066   77.81253138    5.91522631    4.77235203    4.45638154    0.19346146    0.00000000  -6.81596e+00
   5.000   81.69456191   81.67694097    5.95284067    4.77597017    4.45433119    0.19346152    0.00000000  -6.77159e+00
   5.000   85.26288681   85.24373189    5.98585864    4.77910095    4.45254336    0.19346188    0.00000000  -6.73338e+00
   5.000   90.76134204   90.73980387    6.03289860    4.78340816    4.44982058    0.19346311    0.00000000  -6.67845e+00
   5.000   94.08516490   94.06221317    6.05967376    4.78582274    4.44831025    0.19346434    0.00000000  -6.64756e+00
   5.000   99.82332172   99.79759707    6.10340933    4.78965509    4.44568363    0.19346816    0.00000000  -6.59773e+00
   5.000  104.10834342  104.08051005    6.13301342    4.79216526    4.44390870    0.19347204    0.00000000  -6.56270e+00
   5.000  108.33809387  108.30806673    6.16211413    4.79462814    4.44216331    0.19347733    0.00000000  -6.53058e+00
   5.000  113.33541656  113.30278350    6.19403645    4.79725095    4.44021073    0.19348587    0.00000000  -6.49456e+00
   5.000  118.86338039  118.82777641    6.22799070    4.79998853    4.43809113    0.19349881    0.00000000  -6.45741e+00
   5.000  124.03790833  123.99956258    6.25735238    4.80228503    4.43624298    0.19351360    0.00000000  -6.42452e+00
   5.000  129.17074012  129.12957626    6.28579460    4.80448684    4.43444667    0.19353208    0.00000000  -6.39394e+00
   5.000  134.69695087  134.65284300    6.31406441    4.80660439    4.43264288    0.19355534    0.00000000  -6.36261e+00
   5.000  140.50841377  140.46109965    6.34313472    4.80876179    4.43078928    0.19358559    0.00000000  -6.33174e+00
   5.000  148.42214244  148.37050742    6.37967460    4.81139765    4.42850005    0.19363059    0.00000000  -6.29225e+00
   5.000  158.89917629  158.84162287    6.42483365    4.81455587    4.42563870    0.19370615    0.00000000  -6.24425e+00
   5.000  175.38986167  175.32271107    6.48876616    4.81882008    4.42154805    0.19385879    0.00000000  -6.17679e+00
   5.000  193.28414329  193.20626357    6.55065005    4.82273455    4.41755429    0.19407412    0.00000000  -6.11279e+00
   5.000  212.14963816  212.06015818    6.60885275    4.82618148    4.41362394    0.19439888    0.00000000  -6.05361e+00
   5.000  236.54553043  236.44091712    6.67545593    4.82985787    4.40898131    0.19499210    0.00000000  -5.98725e+00
   5.000  263.61399087  263.49230114    6.74049635    4.83324111    4.40453606    0.19582394    0.00000000  -5.92411e+00
   5.000  292.40481373  292.26469967    6.80163166    4.83620852    4.40030462    0.19678454    0.00000000  -5.86563e+00
# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
   5.050    0.53384662    0.53384634    0.72549190    3.69260463    3.16328813    0.19346280   -1.00000000  -1.18857e+01
   5.050    0.61970481    0.61970446    0.83254411    3.69984607    3.15006246    0.19346280   -1.00000000  -1.18009e+01
   5.050    0.72853603    0.72853558    0.93792463    3.70674891    3.14264108    0.19346280   -1.00000000  -1.17248e+01
   5.050    0.90772093    0.90772031    1.06615314    3.71503079    3.14320982    0.19346280   -1.00000000  -1.16477e+01
   5.050    1.16956619    1.16956533    1.20815140    3.72329784    3.14434214    0.19346280   -1.00000000  -1.15621e+01
   5.050    1.44033553    1.44033440    1.32665557    3.72916288    3.13978955    0.19346280   -1.00000000  -1.14867e+01
   5.050    1.89179158    1.89178999    1.48571290    3.73583905    3.12586685    0.19346280   -1.00000000  -1.13788e+01
