# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
   5.000    0.58200965    0.58200934    0.82325340    3.70340712    3.14630120    0.30661788   -1.00000000  -1.17983e+01
   5.000    0.68175513    0.68175473    0.93314453    3.70948473    3.12951976    0.30661788   -1.00000000  -1.17113e+01
   5.000    0.90193443    0.90193384    1.10779879    3.71908564    3.11506612    0.30661788   -1.00000000  -1.15894e+01
   5.000    1.15600067    1.15599985    1.24783644    3.72651538    3.11251256    0.30661788   -1.00000000  -1.15043e+01
   5.000    1.46101692    1.46101581    1.37857013    3.73233203    3.10654000    0.30661788   -1.00000000  -1.14203e+01
   5.000    1.86027866    1.86027715    1.51728127    3.73745628    3.09346784    0.30661788   -1.00000000  -1.13267e+01
   5.000    2.33011705    2.33011505    1.65974627    3.74183514    3.06626008    0.30661788   -1.00000000  -1.12215e+01
   5.000    2.68644492    2.68644251    1.76623754    3.74473662    3.03330308    0.30661788   -1.00000000  -1.11343e+01
   5.000    2.90078693    2.90078427    1.83683473    3.74666625    3.00371542    0.30661788   -1.00000000  -1.10684e+01
   5.000    3.06605033    3.06604752    1.92366405    3.74883650    2.94958033    0.30661788   -1.00000000  -1.09712e+01
   5.000    3.23902043    3.23901736    2.01799611    3.75118317    2.88847251    0.30661788   -1.00000000  -1.08637e+01
   5.000    3.39874220    3.39873882    2.13637689    3.75434854    2.80370910    0.30661788   -1.00000000  -1.07206e+01
   5.000    3.53296835    3.53296464    2.25006173    3.75839890    2.72300663    0.30661788   -1.00000000  -1.05717e+01
   5.000    3.65361733    3.65361324    2.33774701    3.76351857    2.67038100    0.30661788   -1.00000000  -1.04612e+01
   5.000    3.76686516    3.76686065    2.40841409    3.77063705    2.64145122    0.30661787   -1.00000000  -1.03806e+01
   5.000    3.86930531    3.86930035    2.46618905    3.78083236    2.63611346    0.30661786   -1.00000000  -1.03237e+01
   5.000    3.96129888    3.96129347    2.51549414    3.79753851    2.66383566    0.30661786   -1.00000000  -1.02910e+01
   5.000    4.05616324    4.05615736    2.56257588    3.81785852    2.70820413    0.30661785   -1.00000000  -1.02690e+01
   5.000    4.15413634    4.15412999    2.60871503    3.83813710    2.75349737    0.30661784   -1.00000000  -1.02502e+01
   5.000    4.24898328    4.24897645    2.65294842    3.85823720    2.79965320    0.30661784   -1.00000000  -1.02360e+01
   5.000    4.34397082    4.34396350    2.69449782    3.87845156    2.84839907    0.30661783   -1.00000000  -1.02218e+01
   5.000    4.43683837    4.43683055    2.73483163    3.89847767    2.89739088    0.30661783   -1.00000000  -1.02109e+01
   5.000    4.52895692    4.52894860    2.77382158    3.91828833    2.94663492    0.30661782   -1.00000000  -1.02017e+01
   5.000    4.62201115    4.62200232    2.81129112    3.93784850    2.99614606    0.30661781   -1.00000000  -1.01923e+01
   5.000    4.71382213    4.71381278    2.84796932    3.95722150    3.04558313    0.30661781   -1.00000000  -1.01854e+01
   5.000    4.80806412    4.80805425    2.88370747    3.97587598    3.09303470    0.30661780   -1.00000000  -1.01774e+01
   5.000    4.90377424    4.90376384    2.91869375    3.99400019    3.13907351    0.30661779   -1.00000000  -1.01693e+01
   5.000    4.99883500    4.99882407    2.95314320    4.01194668    3.18488045    0.30661780   -1.00000000  -1.01632e+01
   5.000    5.10463852    5.10462701    2.98896253    4.03060502    3.23266712    0.30661780   -1.00000000  -1.01548e+01
   5.000    5.21034724    5.21033514    3.02439822    4.04911657    3.28023719    0.30661781   -1.00000000  -1.01481e+01
   5.000    5.33832551    5.33831271    3.06630266    4.07372817    3.34727785    0.30661781   -1.00000000  -1.02975e+01
   5.000    5.48025455    5.48024122    3.11199105    4.10200898    3.42618249    0.30661783   -1.00000000  -1.14728e+01
   5.000    5.60011576    5.60010217    3.14744316    4.12170599    3.47884513    0.30661785   -1.00000000  -9.90000e+01
   5.000    5.71626365    5.71624981    3.18097361    4.13989964    3.52705829    0.30661787   -1.00000000  -9.90000e+01
   5.000    5.83246203    5.83244796    3.21307244    4.15736344    3.57351653    0.30661788   -1.00000000  -9.90000e+01
   5.000    5.94885642    5.94884211    3.24448272    4.17446294    3.61910970    0.30661790   -1.00000000  -9.90000e+01
   5.000    6.07696150    6.07694282    3.27650441    4.19180390    3.66538515    0.30661791   -1.00000000  -1.14978e+01
   5.000    6.21467501    6.21464868    3.30903452    4.20930259    3.71206883    0.30661792   -1.00000000  -1.10336e+01
   5.000    6.35286510    6.35283104    3.34141841    4.22667319    3.75841825    0.30661793   -1.00000000  -1.07993e+01
