# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
   5.000    0.61372888    0.61372864    0.67682078    3.63232823    3.03155979    0.48595659   -1.00000000  -1.19022e+01
   5.000    0.78431514    0.78431477    0.88487857    3.64918377    2.99752545    0.48595659   -1.00000000  -1.17312e+01
   5.000    1.02597956    1.02597900    1.09561909    3.66412421    2.96325898    0.48595659   -1.00000000  -1.15593e+01
   5.000    1.75495476    1.75495354    1.44845049    3.68787664    2.93867788    0.48595659   -1.00000000  -1.13073e+01
   5.000    2.08453120    2.08452968    1.54796662    3.69444344    2.94012008    0.48595659   -1.00000000  -1.12463e+01
   5.000    2.37944090    2.37943908    1.62487433    3.69906184    2.93915558    0.48595659   -1.00000000  -1.11979e+01
   5.000    2.70054631    2.70054417    1.69886406    3.70314926    2.93655761    0.48595659   -1.00000000  -1.11505e+01
   5.000    3.03999478    3.03999230    1.76755238    3.70676113    2.93368016    0.48595659   -1.00000000  -1.11052e+01
   5.000    3.36701370    3.36701088    1.82947946    3.70970263    2.92790464    0.48595659   -1.00000000  -1.10619e+01
   5.000    3.68926644    3.68926328    1.88754661    3.71227829    2.91986237    0.48595659   -1.00000000  -1.10200e+01
   5.000    3.98242976    3.98242628    1.93912045    3.71449648    2.91036486    0.48595659   -1.00000000  -1.09813e+01
   5.000    4.28266880    4.28266499    1.99315724    3.71666858    2.89652115    0.48595659   -1.00000000  -1.09375e+01
   5.000    4.54506491    4.54506081    2.04469132    3.71880476    2.87934421    0.48595659   -1.00000000  -1.08911e+01
   5.000    4.77024958    4.77024528    2.10452821    3.72105878    2.84957615    0.48595659   -1.00000000  -1.08310e+01
   5.000    5.00979158    5.00978697    2.16532125    3.72347171    2.81973680    0.48595659   -1.00000000  -1.07691e+01
   5.000    5.23668658    5.23668162    2.23628991    3.72606320    2.77836507    0.48595659   -1.00000000  -1.06909e+01
   5.000    5.44767466    5.44766932    2.32175305    3.72925741    2.72278194    0.48595659   -1.00000000  -1.05886e+01
   5.000    5.63631043    5.63630466    2.41612982    3.73334156    2.65949632    0.48595659   -1.00000000  -1.04696e+01
   5.000    5.80487692    5.80487066    2.50268965    3.73838777    2.60595775    0.48595659   -1.00000000  -1.03626e+01
   5.000    5.95850948    5.95850269    2.57012479    3.74444536    2.57411153    0.48595659   -1.00000000  -1.02826e+01
   5.000    6.10718290    6.10717552    2.62400357    3.75223603    2.56191475    0.48595658   -1.00000000  -1.02209e+01
