# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
   5.000    0.69481476    0.69481447    0.76114966    3.63205999    3.00022212    0.12206678   -1.00000000  -1.18302e+01
   5.000    0.93621124    0.93621078    1.00522722    3.65035970    2.95883113    0.12206678   -1.00000000  -1.16293e+01
   5.000    1.19028855    1.19028788    1.18487286    3.66233556    2.93143205    0.12206678   -1.00000000  -1.14845e+01
   5.000    1.69581138    1.69581026    1.41578635    3.67740141    2.91455348    0.12206678   -1.00000000  -1.13195e+01
   5.000    2.13607785    2.13607633    1.55015099    3.68617975    2.91544764    0.12206678   -1.00000000  -1.12369e+01
   5.000    2.46865100    2.46864915    1.63446287    3.69118834    2.91404404    0.12206678   -1.00000000  -1.11838e+01
   5.000    2.84239877    2.84239656    1.71672748    3.69572854    2.91117759    0.12206678   -1.00000000  -1.11308e+01
   5.000    3.22645424    3.22645164    1.79083132    3.69956454    2.90748348    0.12206678   -1.00000000  -1.10813e+01
   5.000    3.58022041    3.58021746    1.85418878    3.70255185    2.90127252    0.12206678   -1.00000000  -1.10372e+01
   5.000    3.91117452    3.91117122    1.91266324    3.70498732    2.89095063    0.12206678   -1.00000000  -1.09935e+01
   5.000    4.23576193    4.23575828    1.96760641    3.70737393    2.88023580    0.12206678   -1.00000000  -1.09518e+01
   5.000    4.51779869    4.51779473    2.01833037    3.70948630    2.86587037    0.12206678   -1.00000000  -1.09088e+01
   5.000    4.74757320    4.74756905    2.07659160    3.71182295    2.83853716    0.12206678   -1.00000000  -1.08514e+01
   5.000    4.99582893    4.99582448    2.13478397    3.71434511    2.81256613    0.12206678   -1.00000000  -1.07940e+01
   5.000    5.23738619    5.23738140    2.20342636    3.71713564    2.77557767    0.12206678   -1.00000000  -1.07207e+01
   5.000    5.46032726    5.46032209    2.28492155    3.72034836    2.72499974    0.12206678   -1.00000000  -1.06261e+01
   5.000    5.65953598    5.65953039    2.37955062    3.72452692    2.66261045    0.12206678   -1.00000000  -1.05090e+01
   5.000    5.83481475    5.83480870    2.47192338    3.72975209    2.60439473    0.12206678   -1.00000000  -1.03935e+01
   5.000    5.99065297    5.99064641    2.54609825    3.73595304    2.56654531    0.12206678   -1.00000000  -1.03062e+01
   5.000    6.14690436    6.14689720    2.60492844    3.74408123    2.55113232    0.12206677   -1.00000000  -1.02343e+01
   5.000    6.29248917    6.29248138    2.65540520    3.75471339    2.55330585    0.12206677   -1.00000000  -1.01882e+01
   5.000    6.42832405    6.42831564    2.70062128    3.76778833    2.56983329    0.12206677   -1.00000000  -1.01598e+01
   5.000    6.56857928    6.56856846    2.74343167    3.78421352    2.60182956    0.12206677   -1.00000000  -9.99045e+00
   5.000    6.69598172    6.69596681    2.78071823    3.80171870    2.64222266    0.12206677   -1.00000000  -9.80178e+00
   5.000    6.82366243    6.82364313    2.82028052    3.81952357    2.68155552    0.12206676   -1.00000000  -9.67231e+00
   5.000    6.94584951    6.94582572    2.86084145    3.83728991    2.71940531    0.12206676   -1.00000000  -9.57594e+00
   5.000    7.06272897    7.06270056    2.90248918    3.85503461    2.75576268    0.12206676   -1.00000000  -9.49770e+00
   5.000    7.17448259    7.17444947    2.94510584    3.87277124    2.79081064    0.12206676   -1.00000000  -9.43076e+00
   5.000    7.28131485    7.28127690    2.98849207    3.89050680    2.82478892    0.12206676   -1.00000000  -9.37128e+00
   5.000    7.38347314    7.38343024    3.03234189    3.90823286    2.85798463    0.12206676   -1.00000000  -9.31716e+00
   5.000    7.48123841    7.48119044    3.07642805    3.92595707    2.89067247    0.12206676   -1.00000000  -9.26709e+00
   5.000    7.57491446    7.57486128    3.12050809    3.94367658    2.92310178    0.12206677   -1.00000000  -9.22020e+00
   5.000    7.66480344    7.66474489    3.16436285    3.96137602    2.95544842    0.12206677   -1.00000000  -9.17595e+00
   5.000    7.75122050    7.75115642    3.20781176    3.97904905    2.98788654    0.12206677   -1.00000000  -9.13398e+00
   5.000    7.83446592    7.83439614    3.25069967    3.99668518    3.02054737    0.12206677   -1.00000000  -9.10397e+00
   5.000    7.91483905    7.91476378    3.29290010    4.01427700    3.05354580    0.12206677   -1.00000000  -9.19323e+00
   5.000    7.99262397    7.99254375    3.33430290    4.03181880    3.08698617    0.12206678   -1.00000000  -9.34167e+00
   5.000    8.07978171    8.07969764    3.37434088    4.04910582    3.12074069    0.12206678   -1.00000000  -9.54062e+00
   5.000    8.16604443    8.16595663    3.41341965    4.06634330    3.15515410    0.12206678   -1.00000000  -9.44217e+00
   5.000    8.25043338    8.25034166    3.45152865    4.08355273    3.19032640    0.12206678   -1.00000000  -9.34460e+00
   5.000    8.33320948    8.33311358    3.48862205    4.10073301    3.22631277    0.12206678   -1.00000000  -9.25232e+00
   5.000    8.41462834    8.41452795    3.52465686    4.11788205    3.26316126    0.12206678   -1.00000000  -9.16361e+00
   5.000    8.49493143    8.49482616    3.55961914    4.13500229    3.30090833    0.12206678   -1.00000000  -9.07954e+00
   5.000    8.57969253    8.57958125    3.59333078    4.15203456    3.33954894    0.12206678   -1.00000000  -8.98606e+00
   5.000    8.66417815    8.66406018    3.62593271    4.16903310    3.37913536    0.12206678   -1.00000000  -8.89861e+00
   5.000    8.74824266    8.74811729    3.65743103    4.18599992    3.41967758    0.12206678   -1.00000000  -8.81531e+00
   5.000    8.83211132    8.83197767    3.68781173    4.20293160    3.46118709    0.12206678   -1.00000000  -8.73617e+00
   5.000    8.91602086    8.91587793    3.71706389    4.21982478    3.50367315    0.12206678   -1.00000000  -8.66180e+00
   5.000    9.00020657    9.00005320    3.74517646    4.23667208    3.54712811    0.12206678   -1.00000000  -8.59157e+00
   5.000    9.09489016    9.09472291    3.77230380    4.25355304    3.59185654    0.12206678   -1.00000000  -8.50756e+00
   5.000    9.19047215    9.19028914    3.79830466    4.27037657    3.63752274    0.12206678   -1.00000000  -8.42981e+00
