# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
   5.000    0.51498680    0.51498658    0.63806474    3.66222249    3.11357361    0.30661788   -1.00000000  -1.19439e+01
   5.000    0.60744029    0.60744000    0.77855730    3.67366122    3.09078313    0.30661788   -1.00000000  -1.18286e+01
   5.000    0.76963747    0.76963704    0.96367851    3.68701235    3.06181187    0.30661788   -1.00000000  -1.16771e+01
   5.000    0.98596946    0.98596885    1.13574392    3.69847232    3.04326577    0.30661788   -1.00000000  -1.15434e+01
   5.000    1.40342186    1.40342086    1.34518642    3.71214391    3.04193161    0.30661788   -1.00000000  -1.14138e+01
   5.000    1.65008666    1.65008542    1.43700984    3.71752920    3.04198472    0.30661788   -1.00000000  -1.13574e+01
   5.000    2.11001489    2.11001319    1.57800550    3.72469788    3.03640001    0.30661788   -1.00000000  -1.12662e+01
   5.000    2.52102594    2.52102382    1.68267611    3.72927269    3.02730740    0.30661788   -1.00000000  -1.11948e+01
   5.000    2.85618649    2.85618401    1.76229229    3.73229088    3.01396336    0.30661788   -1.00000000  -1.11363e+01
   5.000    3.16607738    3.16607455    1.83466260    3.73480966    2.99641998    0.30661788   -1.00000000  -1.10792e+01
   5.000    3.43536299    3.43535986    1.89968955    3.73695464    2.97543109    0.30661788   -1.00000000  -1.10240e+01
   5.000    3.64058746    3.64058410    1.95747423    3.73904986    2.95122860    0.30661788   -1.00000000  -1.09688e+01
   5.000    3.82341462    3.82341107    2.02597259    3.74124086    2.91278713    0.30661788   -1.00000000  -1.08963e+01
   5.000    4.00504647    4.00504265    2.09782504    3.74376978    2.87121682    0.30661788   -1.00000000  -1.08184e+01
   5.000    4.19006341    4.19005926    2.19235044    3.74657934    2.80741485    0.30661788   -1.00000000  -1.07031e+01
   5.000    4.35196976    4.35196526    2.29540164    3.75016075    2.73512656    0.30661788   -1.00000000  -1.05713e+01
   5.000    4.49501967    4.49501478    2.39118535    3.75462684    2.67141122    0.30661788   -1.00000000  -1.04555e+01
   5.000    4.62703846    4.62703311    2.46503946    3.76045393    2.63329196    0.30661788   -1.00000000  -1.03618e+01
   5.000    4.74833166    4.74832583    2.52780676    3.76773417    2.61103799    0.30661787   -1.00000000  -1.02963e+01
   5.000    4.86323571    4.86322938    2.58143926    3.77908325    2.61304839    0.30661786   -1.00000000  -1.02443e+01
   5.000    4.97016977    4.97016292    2.63130979    3.79482568    2.63567597    0.30661786   -1.00000000  -1.02107e+01
   5.000    5.07618101    5.07617363    2.67962463    3.81393485    2.67291271    0.30661785   -1.00000000  -1.01848e+01
   5.000    5.18002657    5.18001865    2.72737748    3.83364423    2.71279899    0.30661784   -1.00000000  -1.01618e+01
   5.000    5.28006531    5.28005684    2.77390315    3.85309370    2.75243161    0.30661784   -1.00000000  -1.01402e+01
   5.000    5.37938912    5.37938011    2.81917130    3.87203798    2.79096726    0.30661783   -1.00000000  -1.01176e+01
   5.000    5.47475106    5.47474151    2.86369822    3.89091217    2.82964362    0.30661783   -1.00000000  -1.00974e+01
   5.000    5.58034009    5.58032985    2.91535176    3.91485412    2.88200220    0.30661782   -1.00000000  -1.00757e+01
   5.000    5.68989782    5.68988684    2.96986254    3.94087811    2.94004746    0.30661781   -1.00000000  -1.00547e+01
   5.000    5.78731328    5.78730163    3.01700366    3.96352768    2.99090440    0.30661781   -1.00000000  -1.00368e+01
   5.000    5.87347978    5.87346756    3.05583764    3.98202819    3.03244306    0.30661781   -1.00000000  -1.00212e+01
   5.000    5.95812765    5.95811485    3.09364091    4.00043769    3.07453606    0.30661781   -1.00000000  -1.00079e+01
   5.000    6.04439516    6.04437963    3.12936641    4.01812793    3.11563926    0.30661782   -1.00000000  -1.00126e+01
   5.000    6.13459601    6.13457557    3.16353361    4.03513837    3.15555220    0.30661783   -1.00000000  -1.00304e+01
   5.000    6.22401464    6.22398936    3.19665454    4.05201143    3.19590949    0.30661783   -1.00000000  -1.00416e+01
   5.000    6.31275056    6.31272049    3.22871529    4.06873764    3.23669386    0.30661784   -1.00000000  -1.00455e+01
   5.000    6.40084275    6.40080797    3.25972554    4.08530959    3.27786862    0.30661785   -1.00000000  -1.01164e+01
   5.000    6.48844521    6.48840580    3.28972961    4.10172411    3.31938706    0.30661786   -1.00000000  -1.01936e+01
   5.000    6.57610166    6.57605765    3.31886881    4.11799072    3.36118238    0.30661787   -1.00000000  -1.02070e+01
   5.000    6.66389192    6.66384325    3.34718213    4.13410293    3.40319487    0.30661787   -1.00000000  -1.01122e+01
   5.000    6.75181898    6.75176556    3.37470046    4.15005473    3.44536992    0.30661788   -1.00000000  -1.00258e+01
   5.000    6.83967478    6.83961652    3.40141429    4.16583644    3.48766428    0.30661788   -1.00000000  -9.94674e+00
   5.000    6.92834045    6.92827720    3.42755496    4.18146561    3.52997589    0.30661788   -1.00000000  -9.87347e+00
   5.000    7.02029065    7.02022211    3.45369401    4.19699993    3.57212958    0.30661788   -1.00000000  -9.80410e+00
   5.000    7.12457729    7.12450554    3.47919755    4.21378758    3.61988358    0.30661788   -1.00000000  -9.72969e+00
   5.000    7.23006807    7.22999247    3.50468283    4.23028282    3.66670082    0.30661788   -1.00000000  -9.66205e+00
   5.000    7.33575750    7.33567788    3.52958146    4.24663364    3.71353885    0.30661788   -1.00000000  -9.59950e+00
   5.000    7.44343776    7.44335389    3.55428498    4.26289791    3.76034514    0.30661788   -1.00000000  -9.54073e+00
   5.000    7.55882501    7.55873618    3.57904047    4.27902106    3.80676918    0.30661788   -1.00000000  -9.47738e+00
   5.000    7.68112431    7.68102977    3.60367142    4.29497245    3.85279936    0.30661788   -1.00000000  -9.41077e+00
   5.000    7.77583115    7.77573164    3.62305569    4.31007771    3.89914492    0.30661788   -1.00000000  -9.35862e+00
   5.000    7.93475281    7.93464554    3.65299602    4.32681325    3.94505519    0.30661788   -1.00000000  -9.29075e+00
   5.000    8.07589881    8.07578359    3.67830285    4.34294434    3.99192667    0.30661788   -1.00000000  -9.22686e+00
   5.000    8.22620116    8.22607665    3.70350875    4.35916171    4.03950448    0.30661788   -1.00000000  -9.16093e+00
   5.000    8.38771935    8.38758623    3.72959506    4.37554059    4.08743854    0.30661788   -1.00000000  -9.78541e+00
   5.000    8.58463904    8.58449690    3.75904644    4.39520750    4.14676906    0.30661788   -1.00000000  -1.02885e+01
   5.000    8.84725022    8.84709533    3.79539001    4.42136368    4.22808772    0.30661788   -1.00000000  -1.00880e+01
   5.000    9.07770246    9.07753570    3.82662273    4.44145917    4.28837566    0.30661788   -1.00000000  -9.94582e+00
   5.000    9.26284879    9.26267158    3.85075785    4.45385324    4.32228834    0.30661788   -1.00000000  -9.84035e+00
   5.000    9.46773236    9.46754337    3.87677258    4.46686163    4.35768177    0.30661788   -1.00000000  -9.73914e+00
   5.000    9.73128180    9.73107742    3.90238993    4.47945777    4.39450786    0.30661788   -1.00000000  -9.64338e+00
   5.000   10.01150163   10.01128038    3.93952341    4.49434323    4.42973788    0.30661788   -1.00000000  -9.54580e+00
   5.000   10.76661899   10.76634279    3.95759864    4.50715466    4.49411298    0.30661788    0.00000000  -9.46376e+00
   5.000   10.82799476   10.82771414    3.94852777    4.50006258    4.47735591    0.30661788    0.00000000  -9.46565e+00
   5.000   10.90656817   10.90628188    3.94420027    4.49519313    4.46545783    0.30661788    0.00000000  -9.49464e+00
   5.000   12.16871394   12.16831538    4.02995135    4.50768817    4.47720490    0.30661788    0.00000000  -9.40423e+00
   5.000   12.40641787   12.40599484    4.05353585    4.51070132    4.47393553    0.30661788    0.00000000  -9.35075e+00
   5.000   12.64519632   12.64474841    4.07753220    4.51380222    4.47064265    0.30661788    0.00000000  -9.30220e+00
   5.000   12.88568586   12.88521240    4.10180070    4.51669863    4.46661371    0.30661788    0.00000000  -9.27406e+00
   5.000   13.06310971   13.06261703    4.11961460    4.51937032    4.46519650    0.30661788    0.00000000  -9.22080e+00
   5.000   13.18238133   13.18187494    4.13078625    4.52093518    4.46412273    0.30661788    0.00000000  -9.19261e+00
   5.000   13.30402106   13.30350054    4.14181817    4.52246803    4.46313684    0.30661788    0.00000000  -9.16732e+00
   5.000   13.42676235   13.42622743    4.15286658    4.52398570    4.46210921    0.30661788    0.00000000  -9.14373e+00
   5.000   13.54975750   13.54920798    4.16398921    4.52549865    4.46099662    0.30661788    0.00000000  -9.12123e+00
   5.000   13.67484168   13.67427717    4.17537587    4.52704138    4.45980634    0.30661788    0.00000000  -9.09924e+00
   5.000   13.80114600   13.80056619    4.18694190    4.52860417    4.45855623    0.30661788    0.00000000  -9.07787e+00
   5.000   13.92877177   13.92817630    4.19867137    4.53018739    4.45726690    0.30661788    0.00000000  -9.05712e+00
   5.000   14.13645823   14.13583880    4.21762977    4.53292409    4.45593912    0.30661788    0.00000000  -9.02517e+00
   5.000   14.44425866   14.44359161    4.24279399    4.53605762    4.45222762    0.30661788    0.00000000  -8.96070e+00
   5.000   14.75276419   14.75205262    4.26885025    4.53953376    4.44931885    0.30661788    0.00000000  -8.91004e+00
   5.000   15.08106188   15.08030231    4.29654395    4.54325674    4.44635292    0.30661788    0.00000000  -8.86192e+00
   5.000   15.48853984   15.48771213    4.32769579    4.54743368    4.44317185    0.30661788    0.00000000  -8.79016e+00
   5.000   15.89648400   15.89558810    4.35939131    4.55170880    4.44000967    0.30661788    0.00000000  -8.73116e+00
   5.000   18.05435227   18.05311531    4.52630455    4.57526371    4.42779208    0.30661788    0.00000000  -8.50776e+00
   5.000   18.21145179   18.21006070    4.51978149    4.57306446    4.42405251    0.30661788    0.00000000  -8.41798e+00
   5.000   18.37020560   18.36877844    4.52966578    4.57443757    4.42338778    0.30661788    0.00000000  -8.39811e+00
   5.000   18.53071528   18.52925109    4.53966115    4.57582003    4.42269062    0.30661788    0.00000000  -8.37890e+00
   5.000   18.69299747   18.69149527    4.54976757    4.57721246    4.42196390    0.30661788    0.00000000  -8.36030e+00
