# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
   5.000    0.61756372    0.61756345    0.73101550    3.65157178    3.05700540    0.77018929   -1.00000000  -1.18625e+01
   5.000    0.79340246    0.79340205    0.93806740    3.66760564    3.02311820    0.77018929   -1.00000000  -1.16927e+01
   5.000    1.02472838    1.02472778    1.12953040    3.68096996    2.99620039    0.77018929   -1.00000000  -1.15386e+01
   5.000    1.55269536    1.55269428    1.39153190    3.69892611    2.98659650    0.77018929   -1.00000000  -1.13616e+01
   5.000    1.82276134    1.82275999    1.48332615    3.70491600    2.98839854    0.77018929   -1.00000000  -1.13059e+01
   5.000    2.12842427    2.12842262    1.57089328    3.71022278    2.98920347    0.77018929   -1.00000000  -1.12525e+01
   5.000    2.46595235    2.46595036    1.65809604    3.71472583    2.98408237    0.77018929   -1.00000000  -1.11946e+01
   5.000    2.79253670    2.79253437    1.73146529    3.71826103    2.97892939    0.77018929   -1.00000000  -1.11448e+01
   5.000    3.13020443    3.13020175    1.80041750    3.72136189    2.97192772    0.77018929   -1.00000000  -1.10973e+01
   5.000    3.43980837    3.43980536    1.86253503    3.72380967    2.96056541    0.77018929   -1.00000000  -1.10502e+01
   5.000    3.75150568    3.75150232    1.92421844    3.72617782    2.94603116    0.77018929   -1.00000000  -1.10020e+01
   5.000    3.99902806    3.99902440    1.97287633    3.72826403    2.93350868    0.77018929   -1.00000000  -1.09631e+01
   5.000    4.23422190    4.23421804    2.03850856    3.73053273    2.90172090    0.77018929   -1.00000000  -1.08962e+01
   5.000    4.46311113    4.46310699    2.10220194    3.73279205    2.86988717    0.77018929   -1.00000000  -1.08307e+01
   5.000    4.68940998    4.68940551    2.17719593    3.73539748    2.82676798    0.77018929   -1.00000000  -1.07480e+01
   5.000    4.89577414    4.89576930    2.26555652    3.73845773    2.76932855    0.77018930   -1.00000000  -1.06428e+01
   5.000    5.07860085    5.07859561    2.36307895    3.74220949    2.70276225    0.77018930   -1.00000000  -1.05218e+01
   5.000    5.24144297    5.24143727    2.45485630    3.74680634    2.64317429    0.77018929   -1.00000000  -1.04098e+01
   5.000    5.39024510    5.39023890    2.52525802    3.75246329    2.60745934    0.77018929   -1.00000000  -1.03213e+01
   5.000    5.52832372    5.52831698    2.58297927    3.75936654    2.58840789    0.77018927   -1.00000000  -1.02600e+01
   5.000    5.65832131    5.65831399    2.63160275    3.76898243    2.58828643    0.77018925   -1.00000000  -1.02137e+01
   5.000    5.77997997    5.77997208    2.67613504    3.78226210    2.60616881    0.77018924   -1.00000000  -1.01831e+01
   5.000    5.89525475    5.89524628    2.71792001    3.79884079    2.63922125    0.77018922   -1.00000000  -1.01610e+01
   5.000    6.00499420    6.00498516    2.75960447    3.81632888    2.67558055    0.77018921   -1.00000000  -1.01434e+01
   5.000    6.11996212    6.11995248    2.80266330    3.83416720    2.71186802    0.77018919   -1.00000000  -1.01196e+01
   5.000    6.22973105    6.22972082    2.84644686    3.85199853    2.74704134    0.77018918   -1.00000000  -1.00970e+01
   5.000    6.33458570    6.33457489    2.89094778    3.86983815    2.78118880    0.77018917   -1.00000000  -1.00746e+01
   5.000    6.43412009    6.43410869    2.93576796    3.88765212    2.81454452    0.77018915   -1.00000000  -1.00526e+01
   5.000    6.53386254    6.53384897    2.98141930    3.90574290    2.84794094    0.77018914   -1.00000000  -9.93012e+00
   5.000    6.63772184    6.63770258    3.02785370    3.92429804    2.88218143    0.77018915   -1.00000000  -9.69970e+00
   5.000    6.73726079    6.73723567    3.07407725    3.94282643    2.91625722    0.77018917   -1.00000000  -9.54685e+00
   5.000    6.83306858    6.83303741    3.11988873    3.96134939    2.95049152    0.77018918   -1.00000000  -9.43091e+00
   5.000    6.92573205    6.92569463    3.16508749    3.97985579    2.98507684    0.77018920   -1.00000000  -9.36469e+00
   5.000    7.01524727    7.01520366    3.20933118    3.99832052    3.02025490    0.77018921   -1.00000000  -9.43704e+00
   5.000    7.10238640    7.10233690    3.25250735    4.01675616    3.05623646    0.77018923   -1.00000000  -9.62504e+00
   5.000    7.18730101    7.18724609    3.29436674    4.03514514    3.09320994    0.77018924   -1.00000000  -9.92771e+00
   5.000    7.27033240    7.27027221    3.33475769    4.05347621    3.13130322    0.77018926   -1.00000000  -9.86912e+00
   5.000    7.32770586    7.32764188    3.36776410    4.07065792    3.17058906    0.77018927   -1.00000000  -9.81095e+00
   5.000    7.40651697    7.40644786    3.40462931    4.08879064    3.21115240    0.77018928   -1.00000000  -9.74320e+00
   5.000    7.51187140    7.51179551    3.44622033    4.10804733    3.25313533    0.77018929   -1.00000000  -9.66827e+00
   5.000    7.59747673    7.59739783    3.47824870    4.12548537    3.29558552    0.77018929   -1.00000000  -9.57408e+00
   5.000    7.65588525    7.65580370    3.50388830    4.14203122    3.33940345    0.77018929   -1.00000000  -9.50042e+00
   5.000    7.74258414    7.74249884    3.53358342    4.15946174    3.38429037    0.77018929   -1.00000000  -9.42139e+00
   5.000    7.82962080    7.82953151    3.56187601    4.17679211    3.43019812    0.77018929   -1.00000000  -9.34823e+00
   5.000    7.91725068    7.91715711    3.58887517    4.19401706    3.47701089    0.77018929   -1.00000000  -9.28012e+00
   5.000    8.00616605    8.00606782    3.61470114    4.21113328    3.52461301    0.77018929   -1.00000000  -9.21533e+00
   5.000    8.10313165    8.10302763    3.63952581    4.22816721    3.57302984    0.77018929   -1.00000000  -9.14296e+00
   5.000    8.20149986    8.20138956    3.66340972    4.24508217    3.62198535    0.77018929   -1.00000000  -9.07624e+00
   5.000    8.30146247    8.30134532    3.68645264    4.26187463    3.67137581    0.77018929   -1.00000000  -9.01440e+00
   5.000    8.40326566    8.40314102    3.70875229    4.27854685    3.72112547    0.77018929   -1.00000000  -8.95674e+00
   5.000    8.50786093    8.50772798    3.73039978    4.29510297    3.77118621    0.77018929   -1.00000000  -8.90210e+00
   5.000    8.62221483    8.62207164    3.75140990    4.31144319    3.82121390    0.77018929   -1.00000000  -8.84081e+00
   5.000    8.75704052    8.75688495    3.77450043    4.32818193    3.87177153    0.77018929   -1.00000000  -8.77896e+00
   5.000    8.86522295    8.86505536    3.79233725    4.34422425    3.92347444    0.77018929   -1.00000000  -8.73045e+00
   5.000    9.00042356    9.00024079    3.81261213    4.36109980    3.97741182    0.77018929   -1.00000000  -8.68005e+00
   5.000    9.17776436    9.17755990    3.83347638    4.37926963    4.03734073    0.77018929   -1.00000000  -8.74538e+00
   5.000    9.39924153    9.39901506    3.85513112    4.39772478    4.09964008    0.77018929   -1.00000000  -9.18730e+00
   5.000    9.60367453    9.60343374    3.87202313    4.41386654    4.15666900    0.77018929   -1.00000000  -9.66377e+00
   5.000    9.82063355    9.82037721    3.88962697    4.42946630    4.21139126    0.77018929   -1.00000000  -9.57405e+00
   5.000   10.08586067   10.08558364    3.91157529    4.44602802    4.26745055    0.77018929   -1.00000000  -9.47084e+00
   5.000   10.52417067   10.52385399    3.94442231    4.46580871    4.33186802    0.77018929   -1.00000000  -9.32111e+00
   5.000   11.31263439   11.31223760    3.97321877    4.47994909    4.39114077    0.77018929    0.00000000  -9.23506e+00
   5.000   11.36572864   11.36532582    3.96300286    4.47249538    4.37354804    0.77018929    0.00000000  -9.23415e+00
   5.000   11.43824350   11.43783246    3.95969586    4.46803336    4.36174699    0.77018929    0.00000000  -9.25883e+00
   5.000   11.62222196   11.62179008    3.98051567    4.47364675    4.37033248    0.77018929    0.00000000  -9.27471e+00
   5.000   11.84190084   11.84144374    3.99904523    4.47723392    4.37445230    0.77018929    0.00000000  -9.23651e+00
   5.000   12.06841275   12.06792817    4.01858111    4.48050430    4.37634978    0.77018929    0.00000000  -9.19633e+00
   5.000   12.30612523   12.30560854    4.03898026    4.48367796    4.37690789    0.77018929    0.00000000  -9.14318e+00
   5.000   12.54593122   12.54538166    4.06065858    4.48695277    4.37666416    0.77018929    0.00000000  -9.09556e+00
   5.000   12.78686570   12.78628257    4.08341581    4.49034580    4.37585364    0.77018929    0.00000000  -9.05159e+00
   5.000   13.03298537   13.03236674    4.10705100    4.49383341    4.37463869    0.77018929    0.00000000  -9.00719e+00
   5.000   13.31145540   13.31079114    4.13220726    4.49750719    4.37313899    0.77018929    0.00000000  -8.94374e+00
   5.000   13.59140347   13.59069246    4.15775877    4.50122939    4.37148530    0.77018929    0.00000000  -8.88783e+00
   5.000   13.87252153   13.87176263    4.18359804    4.50498683    4.36972241    0.77018929    0.00000000  -8.83782e+00
   5.000   14.17725908   14.17644352    4.21034913    4.50886045    4.36787867    0.77018929    0.00000000  -8.77862e+00
   5.000   14.50216522   14.50128510    4.23788600    4.51283472    4.36597277    0.77018929    0.00000000  -8.71620e+00
   5.000   14.82807234   14.82712595    4.26553980    4.51682307    4.36403623    0.77018929    0.00000000  -8.66146e+00
   5.000   15.56695533   15.56583166    4.32452659    4.52521451    4.35965416    0.77018929    0.00000000  -8.53469e+00
   5.000   16.24893806   16.24763509    4.37651194    4.53258482    4.35583851    0.77018929    0.00000000  -8.42881e+00
   5.000   16.64170257   16.64028698    4.40502803    4.53663646    4.35386795    0.77018929    0.00000000  -8.36952e+00
   5.000   17.03321740   17.03168548    4.43329032    4.54064894    4.35191156    0.77018929    0.00000000  -8.31640e+00
   5.000   17.41132301   17.40966653    4.45883041    4.54425659    4.35018582    0.77018929    0.00000000  -8.26035e+00
   5.000   17.78999105   17.78820603    4.48441254    4.54786885    4.34845034    0.77018929    0.00000000  -8.21063e+00
   5.000   18.19864480   18.19671071    4.51112974    4.55162566    4.34663536    0.77018929    0.00000000  -8.15748e+00
   5.000   18.64347249   18.64136394    4.53918627    4.55555233    4.34472762    0.77018929    0.00000000  -8.10092e+00
   5.000   19.08382238   19.08153339    4.56662739    4.55938978    4.34287220    0.77018929    0.00000000  -8.04946e+00
   5.000   19.50320753   19.50073245    4.59140054    4.56284392    4.34125501    0.77018929    0.00000000  -7.99867e+00
   5.000   19.92458318   19.92191486    4.61629362    4.56631427    4.33962695    0.77018929    0.00000000  -7.95298e+00
   5.000   20.48909461   20.48611204    4.64501257    4.57025198    4.33781414    0.77018929    0.00000000  -7.87150e+00
   5.000   21.08620041   21.08286561    4.67463682    4.57430075    4.33595324    0.77018929    0.00000000  -7.79564e+00
   5.000   21.68500074   21.68129927    4.70434798    4.57836085    4.33408336    0.77018929    0.00000000  -7.73087e+00
   5.000   22.28579242   22.28170892    4.73416074    4.58243441    4.33220412    0.77018929    0.00000000  -7.67430e+00
   5.000   22.88884956   22.88436769    4.76408877    4.58652337    4.33031488    0.77018929    0.00000000  -7.62405e+00
   5.000   23.49391354   23.48901631    4.79411928    4.59062612    4.32841698    0.77018929    0.00000000  -7.57883e+00
   5.000   24.10038294   24.09505285    4.82422242    4.59473844    4.32651169    0.77018929    0.00000000  -7.53776e+00
   5.000   24.70814419   24.70236296    4.85439260    4.59885926    4.32459815    0.77018929    0.00000000  -7.50013e+00
   5.000   25.46724351   25.46079447    4.88680889    4.60320655    4.32261910    0.77018929    0.00000000  -7.43862e+00
   5.000   26.36458190   26.35725061    4.92123974    4.60775446    4.32058048    0.77018929    0.00000000  -7.36406e+00
   5.000   27.26246287   27.25421023    4.95569404    4.61230485    4.31853650    0.77018929    0.00000000  -7.30033e+00
   5.000   28.16072678   28.15151184    4.99016576    4.61685730    4.31648892    0.77018929    0.00000000  -7.24468e+00
   5.000   29.05923541   29.04901531    5.02464965    4.62141098    4.31443747    0.77018929    0.00000000  -7.19527e+00
   5.000   29.95780160   29.94653153    5.05913857    4.62596447    4.31238063    0.77018929    0.00000000  -7.15086e+00
   5.000   31.10378489   31.09110437    5.09490067    4.63052306    4.31028749    0.77018929    0.00000000  -7.07846e+00
   5.000   32.26856042   32.25437123    5.13093156    4.63510882    4.30818178    0.77018929    0.00000000  -7.01468e+00
   5.000   33.43695120   33.42116930    5.16707633    4.63970912    4.30606796    0.77018929    0.00000000  -6.95882e+00
   5.000   34.60621172   34.58875258    5.20324997    4.64431280    4.30394968    0.77018929    0.00000000  -6.90921e+00
   5.000   35.87508709   35.85575080    5.23791801    4.64862243    4.30192756    0.77018929    0.00000000  -6.85082e+00
   5.000   37.19806842   37.17668448    5.27191140    4.65279374    4.29994876    0.77018929    0.00000000  -6.79304e+00
   5.000   38.52542844   38.50187213    5.30601762    4.65697888    4.29796226    0.77018929    0.00000000  -6.74179e+00
   5.000   39.85581250   39.82995565    5.34020148    4.66117366    4.29597077    0.77018929    0.00000000  -6.69577e+00
   5.000   42.17595066   42.14574885    5.39345369    4.66751161    4.29270072    0.77018929    0.00000000  -6.61490e+00
   5.000   43.60208355   43.56919593    5.42414623    4.67113405    4.29091380    0.77018929    0.00000000  -6.56836e+00
   5.000   45.92382125   45.88616933    5.47154152    4.67662847    4.28801851    0.77018929    0.00000000  -6.49766e+00
   5.000   48.53197020   48.48863235    5.52107873    4.68228108    4.28503427    0.77018929    0.00000000  -6.42462e+00
   5.000   50.91482857   50.86602341    5.56349753    4.68705359    4.28250971    0.77018929    0.00000000  -6.36319e+00
   5.000   53.38110302   53.32631796    5.60470577    4.69161828    4.28006274    0.77018928    0.00000000  -6.30408e+00
   5.000   55.71831801   55.65771109    5.64157323    4.69564543    4.27789129    0.77018928    0.00000000  -6.25195e+00
   5.000   58.55944370   58.49139655    5.68377810    4.70017743    4.27537967    0.77018926    0.00000000  -6.19295e+00
   5.000   61.84007790   61.76249159    5.72859364    4.70487892    4.27269327    0.77018921    0.00000000  -6.12925e+00
   5.000   64.56226297   64.47612887    5.76463246    4.70863355    4.27056383    0.77018913    0.00000000  -6.08148e+00
   5.000   68.06811214   67.97015024    5.80722782    4.71295868    4.26801634    0.77018889    0.00000000  -6.02320e+00
   5.000   71.64873075   71.53808567    5.84844718    4.71707811    4.26554447    0.77018835    0.00000000  -5.96871e+00
   5.000   75.09463214   74.97122763    5.88601255    4.72077158    4.26329206    0.77018737    0.00000000  -5.92025e+00
   5.000   79.37669811   79.23746548    5.92593558    4.72451658    4.26090745    0.77018400    0.00000000  -5.86147e+00
   5.000   83.67296706   83.51682946    5.96598557    4.72827683    4.25852915    0.77017813    0.00000000  -5.80939e+00
   5.000   88.01595952   87.84163781    6.00646567    4.73207313    4.25610828    0.77016791    0.00000000  -5.76228e+00
   5.000   92.76965479   92.57504853    6.04722022    4.73581185    4.25373653    0.77014426    0.00000000  -5.71377e+00
   5.000   97.82110309   97.60520362    6.08513498    4.73913470    4.25151461    0.77009092    0.00000000  -5.66449e+00
   5.000  102.89100507  102.65309212    6.12105092    4.74221345    4.24938805    0.76999940    0.00000000  -5.61883e+00
   5.000  108.00117746  107.73963219    6.15724463    4.74532362    4.24727748    0.76986198    0.00000000  -5.57708e+00
   5.000  113.55413884  113.26546029    6.19318502    4.74828573    4.24504783    0.76961115    0.00000000  -5.53413e+00
   5.000  119.39365474  119.07483948    6.22897211    4.75115502    4.24274848    0.76922563    0.00000000  -5.49213e+00
   5.000  124.89342534  124.54623484    6.25973998    4.75351639    4.24068019    0.76870344    0.00000000  -5.45463e+00
   5.000  130.34984719  129.97322613    6.28972323    4.75579786    4.23865252    0.76801338    0.00000000  -5.42007e+00
   5.000  134.84629570  134.44621328    6.31233941    4.75745997    4.23712208    0.76733258    0.00000000  -5.39269e+00
   5.000  139.41001671  138.98483785    6.33528466    4.75914376    4.23556458    0.76648405    0.00000000  -5.36649e+00
   5.000  146.45543662  145.99198159    6.36799787    4.76146228    4.23331704    0.76493948    0.00000000  -5.32790e+00
   5.000  156.79457342  156.27298737    6.41318597    4.76458312    4.23020695    0.76202956    0.00000000  -5.27582e+00
   5.000  171.90060359  171.29135356    6.47315111    4.76854956    4.22604390    0.75655528    0.00000000  -5.20751e+00
   5.000  190.75604601  190.03293926    6.53962560    4.77269824    4.22132747    0.74734819    0.00000000  -5.13259e+00
   5.000  213.77616041  212.90905754    6.61062404    4.77686557    4.21629330    0.73332963    0.00000000  -5.05326e+00
   5.000  236.60254490  235.58854476    6.67273176    4.78029533    4.21188781    0.71766665    0.00000000  -4.98489e+00
   5.000  263.29607285  262.10571852    6.73695172    4.78363619    4.20737244    0.69734294    0.00000000  -4.91502e+00
# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
   5.050    0.64547175    0.64547144    0.75599318    3.65472659    3.06404978    0.77018929   -1.00000000  -1.18510e+01
   5.050    0.83938196    0.83938149    0.96326528    3.67100339    3.03594739    0.77018929   -1.00000000  -1.16826e+01
   5.050    1.22405045    1.22404963    1.21196494    3.69010033    3.02734945    0.77018929   -1.00000000  -1.15082e+01
   5.050    1.48312863    1.48312757    1.32328804    3.69853476    3.03334561    0.77018929   -1.00000000  -1.14434e+01
   5.050    1.75969398    1.75969264    1.42208411    3.70520883    3.03553263    0.77018929   -1.00000000  -1.13836e+01
   5.050    2.07220685    2.07220520    1.51736374    3.71095410    3.03415410    0.77018929   -1.00000000  -1.13230e+01
   5.050    2.39386609    2.39386411    1.60289460    3.71551491    3.02961386    0.77018929   -1.00000000  -1.12662e+01
   5.050    2.71119578    2.71119346    1.67670963    3.71917035    3.02447513    0.77018929   -1.00000000  -1.12162e+01
   5.050    3.03930507    3.03930240    1.74662556    3.72236879    3.01693938    0.77018929   -1.00000000  -1.11670e+01
   5.050    3.34525267    3.34524966    1.80991344    3.72500289    3.00585034    0.77018929   -1.00000000  -1.11198e+01
   5.050    3.64236493    3.64236159    1.87200182    3.72737061    2.99019551    0.77018929   -1.00000000  -1.10697e+01
   5.050    3.91177387    3.91177021    1.92991528    3.72960628    2.97224032    0.77018929   -1.00000000  -1.10204e+01
   5.050    4.13772423    4.13772031    1.98995299    3.73193425    2.94571979    0.77018929   -1.00000000  -1.09589e+01
   5.050    4.36139571    4.36139154    2.06056920    3.73442726    2.90796099    0.77018929   -1.00000000  -1.08844e+01
   5.050    4.57163638    4.57163189    2.13609498    3.73712362    2.86371168    0.77018929   -1.00000000  -1.08011e+01
   5.050    4.76803890    4.76803406    2.22484074    3.74040505    2.80645167    0.77018930   -1.00000000  -1.06992e+01
   5.050    4.94131466    4.94130942    2.32196359    3.74440229    2.74075759    0.77018930   -1.00000000  -1.05771e+01
   5.050    5.09677711    5.09677143    2.40899397    3.74924467    2.68652845    0.77018929   -1.00000000  -1.04664e+01
   5.050    5.23854967    5.23854350    2.47886840    3.75493833    2.65144489    0.77018929   -1.00000000  -1.03863e+01
   5.050    5.37123723    5.37123053    2.53448626    3.76212425    2.63533879    0.77018927   -1.00000000  -1.03239e+01
   5.050    5.49479625    5.49478900    2.58422101    3.77144860    2.63288666    0.77018924   -1.00000000  -1.02795e+01
   5.050    5.61308206    5.61307424    2.62968287    3.78553889    2.65293873    0.77018923   -1.00000000  -1.02460e+01
   5.050    5.72381025    5.72380188    2.67392800    3.80226335    2.68414192    0.77018921   -1.00000000  -1.02227e+01
   5.050    5.82967912    5.82967020    2.71716399    3.81988023    2.71928677    0.77018919   -1.00000000  -1.02009e+01
   5.050    5.93079240    5.93078293    2.76061349    3.83755208    2.75400029    0.77018917   -1.00000000  -1.01795e+01
   5.050    6.03012947    6.03011944    2.80499566    3.85532175    2.78790826    0.77018916   -1.00000000  -1.01562e+01
   5.050    6.13202566    6.13201506    2.85058927    3.87325832    2.82114518    0.77018914   -1.00000000  -1.01287e+01
   5.050    6.22949986    6.22948868    2.89656867    3.89123682    2.85385658    0.77018913   -1.00000000  -1.01021e+01
   5.050    6.32282189    6.32281014    2.94274331    3.90928924    2.88637972    0.77018911   -1.00000000  -1.00763e+01
   5.050    6.41183983    6.41182751    2.98870503    3.92736958    2.91892821    0.77018912   -1.00000000  -1.00516e+01
   5.050    6.49795996    6.49794705    3.03453273    3.94554035    2.95177102    0.77018913   -1.00000000  -1.00278e+01
