# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
   5.000    0.51677461    0.51677436    0.71291982    3.68923977    3.14826768    0.30661788   -1.00000000  -1.18862e+01
   5.000    0.61690748    0.61690714    0.84888788    3.69818796    3.12514147    0.30661788   -1.00000000  -1.17754e+01
   5.000    0.73820678    0.73820635    0.97547079    3.70578930    3.10705185    0.30661788   -1.00000000  -1.16751e+01
   5.000    0.94320143    0.94320081    1.12911114    3.71462546    3.09529294    0.30661788   -1.00000000  -1.15674e+01
   5.000    1.32217561    1.32217464    1.31921123    3.72497341    3.09326648    0.30661788   -1.00000000  -1.14525e+01
   5.000    1.50547244    1.50547129    1.39225514    3.72844890    3.09056165    0.30661788   -1.00000000  -1.14069e+01
   5.000    2.03105931    2.03105764    1.56497083    3.73549241    3.07598137    0.30661788   -1.00000000  -1.12891e+01
   5.000    2.46048613    2.46048400    1.68697239    3.73963200    3.05386160    0.30661788   -1.00000000  -1.11996e+01
   5.000    2.78254662    2.78254414    1.77702907    3.74237099    3.02822760    0.30661788   -1.00000000  -1.11264e+01
   5.000    3.02319572    3.02319295    1.84851732    3.74452210    3.00136680    0.30661788   -1.00000000  -1.10627e+01
   5.000    3.19348929    3.19348637    1.92314156    3.74661185    2.95892937    0.30661788   -1.00000000  -1.09829e+01
   5.000    3.36913788    3.36913472    2.00437776    3.74890363    2.91008568    0.30661788   -1.00000000  -1.08939e+01
   5.000    3.53101437    3.53101094    2.09955440    3.75137812    2.84519183    0.30661788   -1.00000000  -1.07817e+01
   5.000    3.67829936    3.67829561    2.21201370    3.75471114    2.76382162    0.30661788   -1.00000000  -1.06413e+01
   5.000    3.80886857    3.80886446    2.31524129    3.75906259    2.69316434    0.30661788   -1.00000000  -1.05075e+01
   5.000    3.92216702    3.92216252    2.39121615    3.76456325    2.65190999    0.30661787   -1.00000000  -1.04138e+01
   5.000    4.02585395    4.02584903    2.45268530    3.77201417    2.63152534    0.30661787   -1.00000000  -1.03447e+01
