# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
   5.000    0.53279872    0.53279846    0.72003036    3.68432714    3.13477220    0.77018929   -1.00000000  -1.18793e+01
   5.000    0.63858117    0.63858083    0.86144152    3.69408523    3.11124534    0.77018929   -1.00000000  -1.17640e+01
   5.000    0.78727638    0.78727591    1.00990586    3.70338635    3.09096840    0.77018929   -1.00000000  -1.16463e+01
   5.000    1.00498751    1.00498685    1.16259073    3.71259343    3.08126802    0.77018929   -1.00000000  -1.15412e+01
   5.000    1.38777384    1.38777282    1.34434345    3.72289337    3.08065798    0.77018929   -1.00000000  -1.14302e+01
   5.000    1.66048536    1.66048408    1.44618658    3.72787326    3.07688060    0.77018929   -1.00000000  -1.13674e+01
   5.000    2.15746189    2.15746010    1.59819983    3.73419902    3.06379612    0.77018929   -1.00000000  -1.12632e+01
   5.000    2.51612195    2.51611978    1.69427413    3.73766305    3.04843550    0.77018929   -1.00000000  -1.11938e+01
   5.000    2.82837403    2.82837152    1.77796948    3.74023709    3.02583239    0.77018929   -1.00000000  -1.11265e+01
   5.000    3.09616902    3.09616620    1.85033972    3.74257784    3.00217639    0.77018929   -1.00000000  -1.10655e+01
   5.000    3.27763451    3.27763150    1.91517953    3.74454943    2.96991449    0.77018929   -1.00000000  -1.09997e+01
   5.000    3.44897538    3.44897218    1.98701494    3.74657182    2.92828810    0.77018929   -1.00000000  -1.09223e+01
   5.000    3.63009654    3.63009306    2.07340146    3.74898851    2.87380761    0.77018930   -1.00000000  -1.08249e+01
   5.000    3.79753116    3.79752737    2.17932304    3.75198804    2.79949803    0.77018930   -1.00000000  -1.06979e+01
   5.000    3.93331991    3.93331578    2.28355538    3.75565798    2.72517603    0.77018929   -1.00000000  -1.05634e+01
   5.000    4.05760728    4.05760276    2.36944035    3.76039388    2.67163329    0.77018929   -1.00000000  -1.04503e+01
   5.000    4.18341547    4.18341050    2.44228939    3.76664460    2.63703669    0.77018927   -1.00000000  -1.03648e+01
   5.000    4.29940370    4.29939827    2.50329212    3.77545715    2.62320206    0.77018925   -1.00000000  -1.03023e+01
   5.000    4.40696322    4.40695730    2.55606279    3.78948620    2.63722759    0.77018924   -1.00000000  -1.02593e+01
   5.000    4.50791464    4.50790823    2.60511563    3.80765460    2.67082973    0.77018922   -1.00000000  -1.02332e+01
   5.000    4.60624844    4.60624154    2.65066023    3.82695126    2.71170768    0.77018921   -1.00000000  -1.02112e+01
   5.000    4.70053632    4.70052892    2.69498920    3.84620719    2.75325833    0.77018919   -1.00000000  -1.01927e+01
   5.000    4.79340957    4.79340168    2.73826948    3.86543778    2.79541427    0.77018918   -1.00000000  -1.01753e+01
   5.000    4.88568074    4.88567234    2.78068157    3.88467481    2.83817210    0.77018917   -1.00000000  -1.01578e+01
   5.000    4.97531485    4.97530593    2.82234607    3.90383651    2.88114130    0.77018915   -1.00000000  -1.01427e+01
   5.000    5.06560927    5.06559983    2.86284839    3.92275533    2.92407465    0.77018914   -1.00000000  -1.01270e+01
   5.000    5.15401518    5.15400522    2.90207518    3.94148185    2.96724695    0.77018912   -1.00000000  -1.01128e+01
   5.000    5.24116168    5.24115119    2.94058009    3.96013671    3.01074777    0.77018911   -1.00000000  -1.01007e+01
   5.000    5.33248243    5.33247139    2.97845145    3.97866200    3.05439232    0.77018910   -1.00000000  -1.00875e+01
   5.000    5.42326655    5.42325495    3.01543568    3.99706461    3.09835510    0.77018911   -1.00000000  -1.00760e+01
   5.000    5.51690678    5.51689460    3.05255254    4.01552107    3.14263143    0.77018912   -1.00000000  -1.00658e+01
   5.000    5.61197606    5.61196329    3.08779141    4.03381679    3.18785599    0.77018913   -1.00000000  -1.00556e+01
   5.000    5.70652213    5.70650876    3.12233539    4.05199681    3.23333298    0.77018914   -1.00000000  -1.00477e+01
   5.000    5.81294250    5.81292849    3.16066362    4.07445476    3.29284746    0.77018916   -1.00000000  -1.01977e+01
   5.000    5.93153652    5.93152205    3.20229472    4.10075691    3.36519303    0.77018920   -1.00000000  -1.09042e+01
   5.000    6.04415425    6.04413727    3.23803854    4.12269280    3.42521039    0.77018924   -1.00000000  -1.15435e+01
   5.000    6.14819448    6.14817194    3.26661482    4.13867697    3.46753559    0.77018927   -1.00000000  -1.09917e+01
   5.000    6.25232577    6.25229764    3.29460781    4.15448641    3.50975131    0.77018930   -1.00000000  -1.07356e+01
   5.000    6.35687983    6.35684604    3.32212947    4.17012894    3.55179901    0.77018932   -1.00000000  -1.05611e+01
   5.000    6.46181343    6.46177390    3.34919920    4.18560255    3.59364833    0.77018934   -1.00000000  -1.04257e+01
   5.000    6.56737091    6.56732555    3.37590139    4.20091390    3.63525791    0.77018935   -1.00000000  -1.03137e+01
   5.000    6.67342384    6.67337254    3.40224785    4.21606152    3.67660148    0.77018935   -1.00000000  -1.02175e+01
   5.000    6.78019636    6.78013902    3.42831856    4.23104602    3.71761652    0.77018935   -1.00000000  -1.01322e+01
